"dataset","method","split_id","Week.of.the.month","Day.of.the.week","Non.urgent.order","Urgent.order","Order.type.A","Order.type.B","Order.type.C","Fiscal.sector.orders","Orders.from.the.traffic.controller.sector","Banking.orders..1.","Banking.orders..2.","Banking.orders..3."
"daily_demand","uni_loo",31,18.2349807692308,-19.6402040572792,1.14329704202717,2.12860278302195,2.03807566847742,1.50683225305254,1.91750945435228,-0.00515392652471622,0.00260207440047929,0.0012558273441055,0.00199755302026381,0.000498047622906392
"daily_demand","uni_loo",32,20.8761106557377,-21.4251764705883,1.12468744616485,2.72860442729889,2.29069018189247,1.5393662891281,1.90777859345125,-0.0128305070639638,-0.000144057155199184,0.00124243813270711,0.00177641382456113,0.000305352468618456
"daily_demand","uni_loo",33,18.6999032258065,-39.6678277087033,1.25275083090489,3.0156186069161,3.1139962095934,1.76638906468871,1.86189741080926,-0.014776708798813,0.0038571497808756,0.00145199694520824,0.00236198082813519,0.00265467059778554
"daily_demand","uni_loo",34,8.81558439490444,-28.8762177077016,1.2211012295468,2.67002388570749,1.95414748370119,1.59589849572505,1.71688867149948,-0.0590239400228817,0.00364589632819875,0.00139885036398508,0.00192914962280316,-0.000169902020584246
"daily_demand","uni_loo",35,11.4003467966573,-35.5098911174785,1.29690314944287,2.78460711998588,2.93992091937284,1.6714519446912,1.67413346994725,-0.0861781761786785,0.001888595528828,0.00116995095202945,0.00171010668763874,0.00137800830342747
"daily_demand","uni_loo",36,16.5237021563342,-17.9541782178218,1.16899437497731,2.42179395989428,2.70693099904404,1.65568982115474,1.78999580045934,-0.0640147355752443,0.000484164986091181,0.00148489450135391,0.00194196064746747,0.00119957616073994
"daily_demand","uni_loo",37,7.64943983402493,-18.8080625,1.21219930716454,2.06899441798994,2.21587979802691,1.74241051846496,1.63250247286719,-0.0672468671224881,0.00118160837646463,0.00104830817444216,0.00130182722714083,0.000291741168293659
"daily_demand","uni_loo",38,21.1457142857143,-32.5084767632586,1.17571346151639,3.65281606913782,2.671796071467,1.55951640249809,2.00381979970992,0.00696540896238501,0.00117047184308713,0.00156173126941211,0.00178457626530312,0.000929694355283072
"daily_demand","uni_loo",39,21.0262595541401,-30.2139534412955,1.21964401125715,3.34266487023715,2.76781056635682,1.85253658745489,1.92391236418856,-0.0220912557111843,0.00226716142194467,0.00150490800909636,0.00166061569743036,0.00162909297538173
"daily_demand","uni_loo",40,7.06762861378795,-30.5001627906977,1.27514932586489,2.50857327974609,3.2816422471363,1.65969027473259,1.76675254011838,0.0323816424101442,0.00156519800880829,0.00123377820820651,0.00198979412988502,0.00136913290681278
