"dataset","method","split_id","Page.total.likes","Type","Category","Post.Month","Post.Weekday","Post.Hour","Paid","Lifetime.Post.Total.Reach","Lifetime.Post.Total.Impressions","Lifetime.Engaged.Users","Lifetime.Post.Consumers","Lifetime.Post.Consumptions","Lifetime.Post.Impressions.by.people.who.have.liked.your.Page","Lifetime.Post.reach.by.people.who.like.your.Page","Lifetime.People.who.have.liked.your.Page.and.engaged.with.your.post","comment","like","share"
"facebook_metrics","least_squares",43,-1.01202505828451e-05,-0.338570921900525,1.93542920962879,-0.437847619546127,-0.369669582436206,-0.0109090277883158,1.50996022281987,-6.64893524608824e-05,2.59185980392927e-05,0.0971181728967786,-0.097846091245772,0.000608445416793426,-3.11283002033431e-05,0.00012065775368667,0.00465652775587799,1.17345467874091,0.909240161791714,1.00477975971832
"facebook_metrics","least_squares",44,-3.78363243845693e-05,0.294624893829336,0.388866947370689,0.138895940052259,-0.0988545393231211,-0.019466014612111,0.300663144986027,-2.0230026298156e-06,1.5142355651136e-06,-0.00656317296525475,0.0066296955459763,-1.36607856760661e-05,-4.03305499691613e-06,3.70681950596625e-05,-0.000234599703609588,1.01858155872252,1.0073876546005,0.973485838381018
"facebook_metrics","least_squares",45,3.95977124433459e-05,-0.43745212165352,1.62488871363514,-0.53030679042444,-0.473587733608786,-0.073859204517872,1.03242782065443,-0.000101394024676242,2.90314529460606e-05,0.0857878790886869,-0.082687063686094,0.000740186481449598,-1.31639868728019e-05,0.000172145567159235,-0.000456783510273489,1.10986336632973,0.920354713623507,1.02053995514838
"facebook_metrics","least_squares",46,0.000110364688848359,-0.446099209104244,1.48147242221434,-0.919772653900574,-0.367787836978073,-0.0172684736423553,1.91438592751553,-0.000159348500902733,5.87582822563106e-05,0.128382282878759,-0.124816304233479,0.000764315418756561,-6.08348985002677e-05,0.000187993153828972,0.00124161611245239,1.16768975720352,0.876862043879256,1.10217745294708
"facebook_metrics","least_squares",47,-4.27733181574176e-05,0.0641608705267386,0.428910154928612,0.165806075683017,-0.081099373923615,0.00395979622590474,0.176648857889093,-1.99288388852491e-06,1.21859156795383e-06,-0.00655226935013665,0.00648465001304652,-1.3863681335392e-05,-2.31056484775675e-06,3.19818696564859e-05,-2.67184221871573e-05,1.01781983470157,1.00731977635768,0.964394472599546
"facebook_metrics","least_squares",48,-1.11794188955455e-05,-0.0130635007373786,0.169678584501309,0.047164745920938,-0.0830145411411428,0.00852519598237523,0.1765579896607,-2.32581930853838e-07,9.07345797801798e-07,-0.00731117407313848,0.00730097966645087,-3.40628066896448e-05,-8.36958622818136e-06,3.20287598575113e-05,8.58645683034666e-05,1.00539204653341,1.00705196054993,0.981779218421778
"facebook_metrics","least_squares",49,5.75036143490104e-05,-0.558596959246486,1.36076811988927,-0.782783953310188,-0.483255057204904,-0.0810012656515878,0.920546248470899,-4.05834545514605e-06,-5.08053065592835e-07,0.13198772477106,-0.133283649363088,0.000886260070101173,-1.0278423163498e-06,-6.70002635283578e-06,0.00473781958486133,1.16645800388664,0.873753281218324,1.14254875895192
"facebook_metrics","least_squares",50,-1.13669737445769e-05,0.00938443070172516,0.229745702700058,0.0379686959306024,-0.0683615853273309,-0.00964026500299334,0.129620092662531,3.00289475209166e-06,-3.44053718524575e-07,-0.00641976718206086,0.00630803798621365,2.93556924334807e-05,-5.03888282685236e-10,6.62615786400393e-06,6.7619703010912e-05,1.00244661216801,1.0066372055653,0.980610306570242
"facebook_metrics","least_squares",51,-4.03844318945885e-05,0.175659182588703,0.504016051735299,0.119491977064364,-0.107434586153922,-0.0350776835203311,0.426230371219732,-2.93904974598465e-07,4.87724651441477e-06,-0.00570345291208815,0.00556424074605225,-6.90536541212732e-06,-7.25516127057697e-06,1.73533315401069e-05,0.000235297578373037,1.02971485865808,1.00662784397963,0.966690634770281
"facebook_metrics","least_squares",52,7.49523892837693e-19,4.45033717842662e-14,-2.48488094383782e-14,-1.01809679961779e-14,9.10863330630763e-15,9.83579112349442e-16,3.24832985949888e-14,-1.60901988109519e-18,1.57966309881506e-19,6.46697884296248e-16,-6.94040415864904e-16,-6.87097663799383e-19,-5.25465921852151e-20,1.27717541518452e-18,-5.82149113961436e-19,1,1,1
"facebook_metrics","least_squares",53,-8.10925907542454e-06,0.0608957961238481,0.146752591243443,0.0172324573883523,-0.0644194722632048,0.0031259617391104,0.158992356467243,3.24283309292729e-06,-4.71042625534876e-07,-0.0029241350862742,0.00287608855688196,-4.61547632715901e-06,1.59134183577987e-06,-1.69738730706569e-06,6.05419425865355e-05,1.00784822872271,1.00311315689633,0.989369309715883
"facebook_metrics","least_squares",54,0.00014000275859596,-2.72931237191301,1.36215978063431,-0.979643766407118,-0.396376616320799,-0.0192692040655721,1.17261431821632,-0.000134257601504082,4.1919546550335e-05,0.125866906586398,-0.120910295006704,0.000417992830194188,8.16172476043731e-05,-0.000186591826298912,0.00105590302038561,1.25189859572008,0.878590932552916,1.10508867482142
"facebook_metrics","least_squares",55,-1.80481889260547e-05,0.0393895488478706,0.176437570595963,0.0603498561794443,-0.00705410306615198,-0.0159789052975273,0.118038933644048,-9.31192818891087e-07,1.42525406164992e-06,-0.00229175078150796,0.0022524827130277,-4.09172767067834e-06,-4.86622508966232e-06,1.93623774992627e-05,-2.08983020448569e-05,1.01022168530675,1.00278526322592,0.987566225011469
"facebook_metrics","least_squares",56,0.000124984931944178,-0.66280118567332,1.45667172448921,-1.09790943070696,-0.22740659364325,-0.0661295765660974,0.662345677059077,-0.000103710865678658,3.27220485054779e-05,0.166871845520821,-0.165272275841055,0.0010458874181641,-3.00897003178169e-05,0.000182915891758204,0.000441874640171736,1.15165200685759,0.839273112577695,1.18306604353209
"facebook_metrics","least_squares",57,3.20560709508845e-05,-0.538124904573844,1.66878722518189,-0.413440165850328,-0.351833942764514,-0.0968209348926746,0.381242858052439,-0.000137884945154,3.2078560487031e-05,0.0981147476147841,-0.0946490813707828,0.000543178264964594,-4.23615924667689e-05,0.000309047143942495,0.000668740865127707,1.20678319416978,0.905950633444661,1.00469200553927
