"dataset","method","split_id","climbRate","Sgz","p","q","curRoll","absRoll","diffClb","diffRollRate","diffDiffClb","SaTime1","SaTime2","SaTime3","SaTime4","diffSaTime1","diffSaTime2","diffSaTime3","diffSaTime4","Sa"
"elevator","uni_loo",11,3.5747229377372e-06,-3.48947834082936e-06,0.00162789313302404,0.0164529166879343,-0.000353038279017277,-0.000610185570282566,-4.58031048734973e-05,0.0199963781234914,-0.000440111570460152,-10.2308116672036,-9.92419673582387,-9.92339158519187,-9.70397621852368,-3.28587391136544,100.251410114255,-3.73174536921361,112.102027696676,-9.70206825750567
"elevator","uni_loo",12,2.86770534826144e-06,-7.18731182717207e-07,0.00177238919447769,0.0178142935377881,-0.000466624743705168,-0.000592119872672894,-6.53825230867961e-05,0.0227894686589226,-0.000412968274400384,-10.4558991897141,-10.1169580579961,-10.1160585623994,-9.94500840066805,-4.22352992352015,99.9252759967217,-4.47694463136525,111.59978308026,-9.94349906598029
"elevator","uni_loo",13,3.15277997783435e-06,-2.58348104827357e-06,0.00179866373064519,0.0181986598401384,-0.000516963308855309,-0.00059391819713154,-6.31629196075907e-05,0.02890882895508,-0.000573925969171144,-10.5741299955606,-10.1791957730402,-10.1790545880504,-9.98405020312036,-4.30638574352195,111.666666666667,-5.06996882132207,116.681330601422,-9.98362446056285
"elevator","uni_loo",14,3.05836159358666e-06,-1.10884800251053e-06,0.00200415779718813,0.0175661143379332,-0.000447961478347637,-0.000597246573776077,-6.27769091012048e-05,0.0194717859556085,-0.000486418174762591,-10.5318723515846,-10.1766340821169,-10.1758388624044,-9.96828913263873,-4.26575838704835,53.6791998071825,-3.92458632298224,73.6816100265125,-9.96649003918069
"elevator","uni_loo",15,2.92056677754125e-06,-4.98668740896214e-06,0.00191653595487797,0.0176406038658228,-0.000401155552267758,-0.000619097022588412,-5.51712781373835e-05,0.0287304086851682,-0.000480445910109572,-10.5613208883655,-10.2011979919218,-10.2010485239733,-10.0117775337473,-4.16292758138022,111.807664497469,-6.52263665004043,111.807664497469,-10.0111212705813
"elevator","uni_loo",16,2.92496809937111e-06,-4.43215084046176e-06,0.00163109644904019,0.0174519260435243,-0.000386864419442525,-0.000592611618393894,-6.68415155373003e-05,0.0149932682842357,-0.000363960708139568,-10.4473138745599,-10.0879505876395,-10.0871652720073,-9.90866249854103,-3.32355684099737,54.3420101229212,-2.00652546165809,112.625705057128,-9.90712138485912
"elevator","uni_loo",17,3.19015263327191e-06,-3.8938742486322e-06,0.00171527531004,0.01738454873065,-0.0005310633682032,-0.000620621340642106,-5.71760565308513e-05,0.0278437032699293,-0.00049824661626418,-10.6224348559722,-10.2468945133407,-10.2467313167638,-10.039383838819,-3.07654669196075,111.580501325621,-4.85943144372941,103.903003422841,-10.0378403599005
"elevator","uni_loo",18,3.24865511032483e-06,-6.20968409799679e-07,0.0020872186718889,0.018354998216529,-0.000470963830139113,-0.000610133771560285,-6.38911162450671e-05,0.0208116843830535,-0.000575689851362043,-10.700190408839,-10.3389758530558,-10.3381736437026,-10.1395763031514,-3.85584066847383,53.6093034466137,-5.9847615403683,0,-10.1386637524868
"elevator","uni_loo",19,3.18773152814174e-06,-2.12068555806449e-06,0.00166747538727504,0.017435498249608,-0.000328355712174954,-0.000608500952443472,-6.62269109223773e-05,0.0148625300174818,-0.000400308977937707,-10.6589538276359,-10.3567972983474,-10.356605660625,-10.1699251203872,-2.70198890064333,111.789587852495,-4.90503757333202,104.153931446753,-10.1683346466075
"elevator","uni_loo",20,2.74962794104204e-06,1.77423828964692e-06,0.00156938293456782,0.0186396281716231,-0.000426146317511827,-0.000615284441033703,-7.00959683498578e-05,0.0216702062598666,-0.000492715196669476,-10.5956659361196,-10.301805497904,-10.3008313490557,-10.1232724285975,-3.34435746404789,100.461119413778,-1.77395163407419,112.296225859159,-10.1209504581637
