"dataset","method","split_id","LATITUDE","LONGITUDE","LND_SQFOOT","TOT_LVG_AREA","SPEC_FEAT_VAL","RAIL_DIST","OCEAN_DIST","WATER_DIST","CNTR_DIST","SUBCNTR_DI","HWY_DIST","age","avno60plus_1","month_sold_2","month_sold_3","month_sold_4","month_sold_5","month_sold_6","month_sold_7","month_sold_8","month_sold_9","month_sold_10","month_sold_11","month_sold_12","structure_quality_2","structure_quality_3","structure_quality_4","structure_quality_5"
"miami_housing","lasso_cv",17,-923754.628485363,1860398.44790373,3.12379568198668,180.453169677115,2.47854876893116,3.90701117531789,2.5705154015113,0.852017237670582,-1.06497544349913,-2.8648310845507,4.80986813694861,-1401.46744410362,-100140.945548217,7724.64029919195,-8561.0834247372,-186.645289915604,0,16827.8197427374,19281.7560139708,16058.8810721803,-2849.46650726447,-1879.54271602121,5252.13150787119,7481.84835813931,77715.3860016769,1024997.90902181,144472.705866086,389128.133574594
"miami_housing","lasso_cv",18,-900351.169088739,1692123.03207794,3.5681087876335,184.129783370888,2.75835613048094,4.42877781329588,1.76219707330937,0.898278514897626,-1.66472802714434,-2.28583928430858,5.49429829521513,-1493.66508048977,-105391.925936692,-560.757776431467,-1797.82041525056,-6507.96176620922,10355.8964184593,6348.2569423915,4665.6044901325,-3676.98992684105,-1272.96779037829,-6464.40962789733,2352.08227717046,1746.63968690377,83761.3069799261,1145776.92498501,157158.300523766,394368.708590223
"miami_housing","lasso_cv",19,-917365.666313155,1872976.07707124,3.21922837170819,174.79378516174,3.16261699175865,4.39896839998346,2.16130108714332,1.19463615290205,-1.16618108212806,-2.56565566294864,5.08176522771782,-1455.51273561586,-108021.522174836,3721.2156733104,2876.14684608053,-2752.97585977456,4914.55110175703,21658.6696457811,15160.6317668488,-440.978759189346,-4936.97557989837,2082.91345443511,6863.64466615654,9635.02608868507,98638.3571271704,1134958.10248889,170293.247987903,407715.33387503
"miami_housing","lasso_cv",20,-942250.372530525,1841356.10068414,3.90930760896199,180.074803994116,2.82674125295637,4.73096387994502,2.3469950391699,0.78616769168057,-1.33264741901465,-2.73687799644026,5.0642567540375,-1547.6784431887,-87513.8843955096,13755.8244194597,-2681.43865036071,637.873918334707,16065.2397532988,10910.1845059207,12071.3269304829,14849.0495118368,-426.726861777172,8083.72510477863,-1664.39046084083,7579.48971546907,74175.8671690089,1357769.69251178,143163.993760188,381680.254974485
"miami_housing","lasso_cv",21,-914297.432520015,1899954.85299191,3.46512435722228,179.33118027976,2.73804300643551,4.77603121627835,2.2780777304718,1.12057594700634,-1.09376394503344,-2.77379089084412,5.14432417216682,-1540.48394744216,-87959.5090855813,7115.82903958795,-365.347672291467,2408.66831770673,11847.8441103736,12217.7360953672,7841.02747553261,0,-14490.3559295118,4513.38384367325,2737.78091560494,391.984540887522,97915.9987225242,1100100.42100636,166416.29304675,405433.793702501
"miami_housing","lasso_cv",22,-961362.605386322,1626974.41937209,3.88052234166177,181.868076938589,2.6207608657956,4.29346325513736,1.98657384611711,0.932883955886478,-2.21027004338147,-1.89039617335262,4.60804337146951,-1394.25053115833,-101029.401868685,2.96502271052812,-11779.4369134193,-5295.20146618353,-3578.26318199175,4101.32147860633,1922.06733511832,4448.99878652257,-11975.216803502,2797.67714327398,-3639.68339711688,-1592.27730783459,80855.7762916472,932332.009538705,151705.533758183,382342.560091191
"miami_housing","lasso_cv",23,-1080141.35870506,2048594.91895005,3.32049207670978,185.282018264513,2.67579818265558,4.74183879547679,2.96216873286035,1.37143864388062,-1.44165598757922,-2.64848691147963,4.70432676689791,-1407.45037531847,-90572.7943193365,4054.13057151361,-7352.26184853006,-5553.91659824212,9237.21187392202,12674.8318235339,4437.52378549482,0,4427.80362069865,2420.59133698537,0,3969.91115031305,74415.005766405,850037.892876759,142870.893707905,398980.890249221
"miami_housing","lasso_cv",24,-838261.120019568,1702506.20866115,3.50816806333067,179.987693747137,2.95959428203298,4.33474470858967,1.73774313711342,0.897167658031725,-1.3019392660048,-2.47020584450293,4.63947509628843,-1643.28372366312,-83106.3977850045,552.422402059261,-4269.87038940576,-4626.46671440878,1906.74529844669,16448.0294297144,0,8563.8440835722,-1509.24109899871,0,7183.3503334902,18200.2121471545,81025.3332611463,1052387.2272342,155793.749426014,389176.026285287
"miami_housing","lasso_cv",25,-1025116.29874733,2182521.61030926,2.80423343984471,179.602522867519,2.97727822060725,5.5113094303759,3.31009309589927,0.667082281538046,-0.455261381995125,-3.68729076615509,5.4722867848664,-1611.59566531459,-103093.013701664,8635.85655287972,0,371.472556801667,14213.1900039624,21126.9392692125,16003.0969812861,8585.39687625753,-730.888409173809,12538.9601316201,0,13763.7615489402,88477.5508208614,998088.434509854,160579.27222132,405976.105709506
"miami_housing","lasso_cv",26,-949785.071440547,1902392.21037585,3.66980666294557,179.960138548049,2.89368303789797,4.04215159499459,2.4522029099872,1.05029865585758,-1.17732921232929,-2.59067055040803,5.09806949724137,-1485.96699921698,-102967.48164167,7515.00409149348,-7102.9577544656,-8727.06539502161,11045.5726908326,12816.8301150519,10242.4451117836,1913.23245875597,-6440.38433278958,280.512654925604,-939.683381395978,-4539.73086649248,73578.9361909143,1158539.84733097,145042.91526249,388588.521287189
