"dataset","method","split_id","lon","lat","med_age","total_rooms","total_beds","population","households","med_income"
"ca_housing","uni_loo",74,-2612.88695918028,-7900.145635053,909.171560783494,7.0305831654448,13.9872227338982,-2.47253377984848,20.3792890685309,42203.3299405697
"ca_housing","uni_loo",75,-3040.02172235504,-7566.10217260017,945.164167094137,7.26543398778571,13.9968543806446,-2.41726756679488,20.9447572399339,41414.9671812849
"ca_housing","uni_loo",76,-3085.60491281488,-7460.05757614566,862.730709262274,7.1365875679114,15.4312429345198,-1.97760736179173,21.0675534195423,41724.1049571811
"ca_housing","uni_loo",77,-2835.82857381766,-7539.17930811207,1019.39161046468,7.09279697396962,13.4303542738053,-2.85407046357404,19.2454972910961,41885.2049213916
"ca_housing","uni_loo",78,-3047.13629015565,-7356.40853822102,1035.25133015742,7.21300522627677,14.2508157362908,-1.94476521260252,20.5148958066413,42022.9682978539
"ca_housing","uni_loo",79,-3433.24634078836,-7125.70390668897,963.999760575982,7.50243158861551,15.1690188565522,-1.89124903766178,21.5199890981653,41944.5442411321
"ca_housing","uni_loo",80,-2487.70423313979,-7798.51397781956,968.701511772083,7.70815092050212,16.204092495881,-1.81650129333731,22.5634713628004,41685.4879733255
"ca_housing","uni_loo",81,-2454.51533426047,-7883.4240626742,976.924447168581,7.5331009761066,13.6094801324799,-2.93027775745609,19.3904622112592,41635.2549997226
"ca_housing","uni_loo",82,-2344.90872496734,-8078.49308148404,902.648938426039,7.40552527890401,15.5761912943319,-2.24585297755542,21.0702564507487,41490.8244855266
"ca_housing","uni_loo",83,-2238.33504303154,-8251.73094386678,1001.44965370534,7.0900981387718,13.4991974526708,-2.70396368992507,19.8040355773657,41893.5758854514
"ca_housing","uni_loo",84,-2758.19630310551,-7717.77314101483,1073.69499125417,6.6986135687831,11.8319642080001,-3.61476694810731,17.860506553507,42776.2094856085
"ca_housing","uni_loo",85,-2329.91789567539,-8234.82804866612,890.817858766829,7.69714768938878,15.1012165101556,-2.72530447588224,20.9946845004546,41618.3272115073
"ca_housing","uni_loo",86,-2824.05384024556,-7630.58022598801,1029.12748479398,7.47958177817749,15.5134416904068,-2.14603461799867,22.0183582878906,42056.6426349595
"ca_housing","uni_loo",87,-3243.33310855722,-7262.17164687539,964.328318330968,7.38777625697795,14.8043853492059,-2.24880174655913,21.1673321276021,41524.5223415064
"ca_housing","uni_loo",88,-3164.51680316568,-7476.38716941953,999.142328287302,8.10288798227603,16.9696123997301,-2.44403194146936,23.8885838647983,41868.5171376431
"ca_housing","uni_loo",89,-2506.30214419973,-7994.60875216023,1052.88730950375,7.19409885029684,13.7624206553725,-2.93078578549278,19.2923634804703,41625.595903806
"ca_housing","uni_loo",90,-3019.29403796944,-7387.23024437241,1013.67187837809,7.28554788665192,14.1179973878889,-2.15520018574065,20.8877373091792,41782.6004892953
"ca_housing","uni_loo",91,-3137.87591845217,-7431.86175763537,851.511477397666,7.03688505859663,15.1620621088574,-1.59662086002976,21.4486467378362,42861.6007328358
"ca_housing","uni_loo",92,-2634.89562516263,-7648.83478221462,860.448103956227,7.14496875850104,16.5104978093152,-1.29709009958662,22.6261319358343,41456.1978029609
"ca_housing","uni_loo",93,-2232.45029429505,-8020.46144714681,980.66460469547,7.15158586078191,12.7139359510433,-3.4859219618284,18.5445086885,41598.0767966747
"ca_housing","uni_loo",94,-2431.04017202874,-8063.76370395629,916.458432253706,8.20226774045615,17.3008159120993,-1.97488776138946,22.4435366925323,41990.8917764109
"ca_housing","uni_loo",95,-2216.0983062765,-8275.69030492409,968.12892610339,7.46281174768527,15.6118354794961,-2.16105893354515,22.1251651187767,42064.0376839378
"ca_housing","uni_loo",96,-2580.94491599782,-7751.94232773298,1077.42263471935,6.74298041700365,11.4639087872294,-3.54999646388125,17.1982966873949,41771.1415051292
"ca_housing","uni_loo",97,-2129.06227062953,-8174.90483277417,860.753073902076,7.4658006833486,16.0643951034812,-1.62644796559197,22.2752749986152,41932.1036213673
"ca_housing","uni_loo",98,-2893.73427539798,-7400.78232526292,966.492076544333,7.39019270543295,14.7220365225741,-1.9839614437479,20.4513165400419,42009.6100690694
"ca_housing","uni_loo",99,-2751.6764850211,-7478.26993740776,965.351798698438,7.17529113988517,13.0895221225295,-2.39014341652523,18.8895624786432,42120.0002237546
"ca_housing","uni_loo",100,-3553.50922290303,-7004.39182024847,991.335032118376,6.85134642021217,12.9797228610698,-2.5286614077974,19.4409266318729,41374.7623191963
"ca_housing","unilasso_loo_true",1,-41661.0334829995,-41933.4190252597,1208.29385169695,0,70.6044426708217,-33.3904482557002,36.4130437536747,38809.7984583178
"ca_housing","unilasso_loo_true",2,-42458.504652604,-42496.0676051961,1279.77804254302,0,76.180320949213,-32.942605441998,33.6674174530092,39235.0614215741
"ca_housing","unilasso_loo_true",3,-42488.8223472277,-42749.5355929045,1148.67442795635,0,73.6547864608013,-33.7963500286619,35.28540211126,39170.1413831205
"ca_housing","unilasso_loo_true",4,-42755.197025061,-43099.1256655897,1159.32138379807,0,76.2971402120507,-42.7877850240002,54.1902443883021,38443.3217677029
"ca_housing","unilasso_loo_true",5,-42650.3826993089,-42856.6548843396,1195.56797018151,0,72.0171699749436,-33.4705653271227,38.9468154543082,38814.2458902572
"ca_housing","unilasso_loo_true",6,-43989.6874288902,-43596.0054816739,1120.07156908403,0,72.3039679007506,-41.1971962763368,50.3939235837333,38750.1512280063
"ca_housing","unilasso_loo_true",7,-43264.344195202,-43233.0665488845,1136.26594177143,0,74.0883248509352,-44.5519239265274,62.759738424333,38536.5152240732
"ca_housing","unilasso_loo_true",8,-42016.5565984741,-41625.7293780592,1197.38314158573,0,61.9531563328465,-33.5651563969833,49.7946981031838,38564.3342488053
"ca_housing","unilasso_loo_true",9,-41781.7754400978,-41994.822406012,1267.90151689983,0,93.6574288429618,-37.3153075516854,27.2256098284796,38699.9211778009
"ca_housing","unilasso_loo_true",10,-43712.7632756649,-43354.4821071448,1225.79604677549,0,75.3046111938596,-38.9601226806776,47.2466471683359,38564.6209174215
"ca_housing","unilasso_loo_true",11,-43839.0048979461,-44196.0354281529,1182.03402972413,0,63.0418958436629,-44.049361075156,70.1205172697501,38380.4731481264
"ca_housing","unilasso_loo_true",12,-42329.4337492577,-42602.7990550269,1286.73692899864,0,72.967124311564,-40.4467872200547,56.3604135069731,38691.6111947417
"ca_housing","unilasso_loo_true",13,-40762.6076476657,-40950.0178731773,1289.37815024602,0,64.0571301153395,-31.2520181759522,40.2191286247863,39057.6089099243
"ca_housing","unilasso_loo_true",14,-41970.4071895002,-42070.5197694455,1236.68753879774,0,64.5893804190342,-35.8619276855436,54.3322439232852,38764.9233811466
"ca_housing","unilasso_loo_true",15,-41852.5221541357,-42361.9004869202,1188.52029364473,0,73.3506287939998,-44.4753913795612,62.2892397487101,38921.5243491564
"ca_housing","unilasso_loo_true",16,-42518.9889306303,-42601.557130664,1130.40461750232,0,61.576659391639,-42.3592147829605,70.3439842716996,38920.9705790754
"ca_housing","unilasso_loo_true",17,-43302.7947908811,-43338.5958200894,1145.68394300588,0,70.2505456193236,-46.3802388273262,69.44751440136,38450.5477383446
"ca_housing","unilasso_loo_true",18,-42932.6107098076,-42544.4250188417,1265.6961969777,0,79.4076308723417,-31.9037672128249,27.5523428367967,39143.4566743136
"ca_housing","unilasso_loo_true",19,-43586.168000488,-43322.4185687811,1210.17325528133,0,71.2407720704083,-37.8836025978453,52.4058499778929,38626.1120082873
"ca_housing","unilasso_loo_true",20,-40282.8400849075,-40795.5306386819,1265.17022389867,0,58.5713129330677,-34.4224675354886,56.0832554326615,38632.4526737493
"ca_housing","unilasso_loo_true",21,-42066.4348141216,-41840.6592512242,1334.4903462675,0,78.4533857247262,-31.785528778528,27.1312808397615,39141.2172155284
"ca_housing","unilasso_loo_true",22,-43126.2952070465,-43060.6855770404,1171.44288570987,0,79.7690864042406,-45.0174057326231,55.9030103885823,38803.4381587126
"ca_housing","unilasso_loo_true",23,-42126.6127050431,-41695.2892770692,1248.99468820635,0,75.387863270803,-33.8011121955321,34.6818270232385,39246.3880985695
"ca_housing","unilasso_loo_true",24,-42501.2373735559,-42411.2397006042,1247.92327857763,0,84.5464871766409,-34.6226891662922,28.1456614201435,39033.0121189462
"ca_housing","unilasso_loo_true",25,-42387.1568805171,-42689.5873804697,1152.97721070783,0,63.4237572306653,-42.0118057523467,69.6048973431149,38512.5228346861
"ca_housing","unilasso_loo_true",26,-43377.0383134983,-43359.8821744076,1193.02204998182,0,76.080702192477,-44.0037649785825,57.1268404657084,38791.80175473
"ca_housing","unilasso_loo_true",27,-43397.5478754187,-43310.1001195788,1211.25121849572,0,75.3672866064396,-33.3271336201346,31.7406013208789,38314.2257363785
"ca_housing","unilasso_loo_true",28,-40371.4918369308,-40985.375748361,1287.99231802831,0,58.6240466100834,-35.0754703950878,57.7202009270479,38799.2906978789
"ca_housing","unilasso_loo_true",29,-42441.3282410067,-42538.16628802,1265.02458305017,0,74.8008546447563,-33.2830965344857,34.4796705244043,38910.5049480403
"ca_housing","unilasso_loo_true",30,-41047.5478746016,-41382.1810345513,1209.48992861774,0,68.2944994507966,-36.3932138782991,49.141492620009,39124.5839612303
"ca_housing","unilasso_loo_true",31,-42583.0607066515,-42760.7686151179,1163.33886918138,0,72.4555341351954,-42.7863773090924,60.391660594596,38688.9867619478
"ca_housing","unilasso_loo_true",32,-43877.4973601652,-43974.5744589617,1175.94660131699,0,80.035400575968,-43.6391104112542,52.4060661880417,38322.7204626801
"ca_housing","unilasso_loo_true",33,-40745.5277640402,-40781.3864213356,1250.01589857884,0,60.4331772990726,-34.7669979929732,56.6113497499111,39006.8761970577
"ca_housing","unilasso_loo_true",34,-42024.5878864455,-42327.4549964077,1245.3910110816,0,64.4901669765798,-47.4470787121482,83.2258388435717,38318.9181401048
"ca_housing","unilasso_loo_true",35,-41870.1782769866,-42099.5646305948,1279.76475021181,0,60.5417425918079,-32.5128506599957,46.2354910769457,38575.6139956464
"ca_housing","unilasso_loo_true",36,-44138.7933009108,-44134.1201869121,1138.75651105531,0,69.1212000867141,-43.3189564757807,63.4564060091057,38593.0594785251
"ca_housing","unilasso_loo_true",37,-43957.011895595,-44222.2756491083,1178.35335802622,0,84.1911556327681,-41.9448022117343,45.1754722245813,38480.1374483395
"ca_housing","unilasso_loo_true",38,-43242.0968252455,-43348.4318364115,1226.11602800161,0,75.1469287214621,-43.6007855126961,58.387789466521,39132.4417163118
"ca_housing","unilasso_loo_true",39,-43276.0067469126,-43476.8531466972,1188.54209023452,0,74.2329769620767,-44.9966829817213,62.4302584842045,38462.7813480375
"ca_housing","unilasso_loo_true",40,-41604.0181937364,-41808.5384525296,1272.80922105976,0,70.3032590326002,-41.8046510700942,61.6377525945683,38305.9346364239
"ca_housing","unilasso_loo_true",41,-43597.2707224281,-44136.7287799289,1233.76006760356,0,64.8332462241057,-42.6734123446558,68.5308255667837,38952.9289356149
"ca_housing","unilasso_loo_true",42,-42451.4451653601,-42509.00108035,1306.43604737349,0,64.1571582731132,-35.0235983884349,54.2263020630174,39165.6153261661
