"dataset","method","split_id","lread","lwrite","scall","sread","swrite","fork","exec","rchar","wchar","pgout","ppgout","pgfree","pgscan","atch","pgin","ppgin","pflt","vflt","runqsz","freemem","freeswap"
"computer","uni_loo",43,-0.0411168340403963,-0.0748191692169161,-0.00358520365752784,-0.0299162885543154,-0.0303213886095609,-2.59423052853918,-0.981349559632025,-2.52984364581101e-05,-3.65974050147934e-05,-0.761430604291328,-0.248823415651382,-0.119060002836878,-0.0456303939318197,-0.442188387053835,-0.32595950163488,-0.187606280767962,-0.0584691625549067,-0.0391986319439554,-0.0799295551163875,0.00199798229209859,2.88933204083709e-05
"computer","uni_loo",44,-0.0491465025454824,-0.067755949739181,-0.00356999381263088,-0.0258910795279579,-0.0256445615935386,-2.72542797120476,-1.05220589116619,-2.49968220655241e-05,-3.51879756591813e-05,-0.735811969265874,-0.251356308201674,-0.126545694445607,-0.049373063935959,-0.258646103658952,-0.317267468152679,-0.195271899316548,-0.0606668323663858,-0.0412522089013245,-0.119432683506085,0.00188906537348145,2.87168935781215e-05
"computer","uni_loo",45,-0.0540162796934416,-0.0710914588401626,-0.00361346648898001,-0.0258991672267534,-0.0242851970913202,-2.67222163675911,-1.04730047008741,-2.54630138189266e-05,-3.81027744738276e-05,-0.766519113594493,-0.263926641470239,-0.125565709743603,-0.0478459636125085,-0.50130757903692,-0.317458233217909,-0.192924450646181,-0.0584876151924525,-0.0404522347196005,-0.0931464288221255,0.00205841138548309,3.05504508490943e-05
"computer","uni_loo",46,-0.0450111428434133,-0.0656600094485574,-0.00368169416209461,-0.029591193963796,-0.030587959222222,-2.75707486754945,-1.01930846037452,-2.55355943479027e-05,-3.77374319890308e-05,-0.689978140164573,-0.229591716803018,-0.109207428329851,-0.0399002257998585,-0.398335546827384,-0.305916763828214,-0.17304010630028,-0.0616345768232905,-0.0412484213387679,-0.0813111174326476,0.00194327623219492,2.88149288766793e-05
"computer","uni_loo",47,-0.05135987573887,-0.0778483084987209,-0.00363140523062305,-0.0307893561846386,-0.0305646428685362,-2.69602894132316,-1.00064689828262,-2.56292613929148e-05,-3.93767485031126e-05,-0.787044058443408,-0.259363547841412,-0.115333026917634,-0.0449125206994804,-0.383594145608002,-0.31008507360529,-0.188949981147569,-0.0595231122855276,-0.040235856497358,-0.0956698569622948,0.00200823705581016,2.93198827096248e-05
"computer","uni_loo",48,-0.0535729490965806,-0.0597978564172707,-0.00371500917400604,-0.0296217628824243,-0.0308188466170496,-2.70590850357174,-1.00513926217577,-2.41735107545906e-05,-3.58869639509882e-05,-0.774391112170097,-0.255372115874004,-0.127333249433032,-0.0480185431365411,-0.368949377688211,-0.300949598656192,-0.165377151127316,-0.0601459450774826,-0.0400549842335045,-0.110234071861047,0.00200225580334945,2.85411718089265e-05
"computer","uni_loo",49,-0.0564324280162712,-0.0606115032012981,-0.00380249552590456,-0.0302899443140399,-0.0299351314406654,-2.68906752054289,-0.999379675585949,-2.53330789576961e-05,-3.84786296851591e-05,-0.770854311559422,-0.235580466390673,-0.107484970950556,-0.0388958155447962,-0.362924542134663,-0.317833451291965,-0.181225747616813,-0.0600935374230882,-0.0404425593945737,-0.0908496229146545,0.00209110540305896,3.01077023724025e-05
"computer","uni_loo",50,-0.0429547921195184,-0.0561514503120165,-0.00368491460817081,-0.0309879836342172,-0.0325586301584016,-2.76925804721666,-1.01049916798582,-2.4853831365965e-05,-3.35761472915413e-05,-0.870038318357278,-0.27749503940295,-0.139073208212376,-0.0550489977916454,-0.289120482117107,-0.307070783194628,-0.182217766850467,-0.0624093750187934,-0.0413834931406913,-0.0981126593877037,0.00202484815735948,2.9782742002914e-05
"computer","uni_loo",51,-0.0478995312860808,-0.07460037159628,-0.00381982788674879,-0.0353875681790917,-0.0402394599137337,-2.75271134293047,-1.0220438727478,-2.5873118466219e-05,-3.90385280661436e-05,-0.768043455343979,-0.25758386573802,-0.129281131741013,-0.0533564101801385,-0.294408337422369,-0.33344651024807,-0.209075548169693,-0.061169323961367,-0.0409803902278535,-0.104928214439691,0.0019976113470665,2.92709598684162e-05
"computer","uni_loo",52,-0.0532611723110895,-0.0718553864987395,-0.00361141898907201,-0.0299277594735283,-0.0289180854882695,-2.72822488030463,-0.987554420367384,-2.77795183830753e-05,-3.76594709368132e-05,-0.903364923925327,-0.286139545762208,-0.131222791063447,-0.0506663657440074,-0.282396660532137,-0.325663209874294,-0.193707334902654,-0.0611458480635577,-0.0411513287188342,-0.101725754469195,0.00208854676167034,2.96136184433733e-05
