"dataset","method","split_id","Gender","Age","Ethnicity","T_atm","Humidity","Distance","T_offset1","Max1R13_1","Max1L13_1","aveAllR13_1","aveAllL13_1","T_RC1","T_RC_Dry1","T_RC_Wet1","T_RC_Max1","T_LC1","T_LC_Dry1","T_LC_Wet1","T_LC_Max1","RCC1","LCC1","canthiMax1","canthi4Max1","T_FHCC1","T_FHRC1","T_FHLC1","T_FHBC1","T_FHTC1","T_FH_Max1","T_FHC_Max1","T_Max1","T_OR1","T_OR_Max1"
"infrared_thermography_temperature_(target_2)","uni_loo",11,0.034313867555439,-0.0399868375405636,0.0348579256595287,0.0336425299230915,0.00327171391886523,0.00233622771208534,0.20480177053552,0.62851680026287,0.658392777546327,0.429778084137411,0.498725844455573,0.684808115606768,0.639228969574725,0.666312934361902,0.685926953705073,0.685098600077043,0.675799723993529,0.624846725450626,0.685910209329636,0.583580825514048,0.584062248017361,0.724003285456184,0.723204929720285,0.402512334975766,0.392136193429665,0.371704888838395,0.425575744596696,0.327273471073331,0.62364967038653,0.543469792619104,0.858378663369616,0.681488836646446,0.680847938039033
"infrared_thermography_temperature_(target_2)","uni_loo",12,0.0971251499400401,-0.0422241781051953,0.0399630580427046,0.0459601375305477,0.00190182953886983,-0.411430225247396,0.233412922831701,0.698570307124437,0.725075924320707,0.47288431398186,0.564954422536216,0.749819678921825,0.715549706273809,0.725161496530376,0.751204944842169,0.746780535189265,0.737178951537904,0.683918593394549,0.748221167623715,0.656644900746541,0.657461714225196,0.79228211390873,0.792162704882381,0.393933040261315,0.396741361769055,0.345555212149087,0.422138355308309,0.329007431852167,0.63451527916002,0.516262516295892,0.926367229154243,0.732943265664513,0.732771598688516
"infrared_thermography_temperature_(target_2)","uni_loo",13,0.0363682411042016,-0.0278712312148956,0.0393845493766885,0.0563136749993215,0.00205594577006721,0.0023933592476781,0.270280950304452,0.711489136912139,0.710203915009818,0.473821112635422,0.547218714971208,0.766068017220787,0.724541087272917,0.72855244112643,0.768674535481383,0.739973893637956,0.72409247652155,0.684436224337703,0.740849592374399,0.645466381307174,0.634379268319318,0.793350105260998,0.793718722956632,0.432186089661097,0.424600631797018,0.381669529550758,0.46318555785296,0.348649829773973,0.691323992190852,0.5685552183998,0.912071328934575,0.715291942057204,0.71518364502914
"infrared_thermography_temperature_(target_2)","uni_loo",14,0.0440420412814835,-0.0247866837614411,0.0310516537487391,0.0157544093168521,0.00130998658561606,0.00245454501944515,0.110823319935052,0.641500803543175,0.676285475467287,0.417709114368241,0.496084196347987,0.699169379075332,0.652944598862055,0.669626479680589,0.699838021173882,0.705526366465522,0.694517271225924,0.629382891923874,0.70696366322082,0.574832798803996,0.575726088742069,0.745295229330882,0.745827376621025,0.374348916580639,0.379038539011164,0.324052040859475,0.395502041156621,0.319351252039655,0.595231475881041,0.512110252398986,0.90202794999647,0.718265800322688,0.718722007410126
"infrared_thermography_temperature_(target_2)","uni_loo",15,0.0925238095237977,-0.0536968995573078,0.0207344797649603,0.0391469346686458,0.00230656212418986,-0.634057720779429,0.203666281204014,0.732975414190585,0.743982787557377,0.5015421583204,0.576693258127767,0.779414158962241,0.740424085259328,0.754628771886699,0.780546983000603,0.772674305912287,0.759039003178997,0.707541506307473,0.773403795953699,0.682084656315763,0.66538050482884,0.821015193744794,0.821820806960095,0.432446738936109,0.429206348821423,0.389529448438534,0.475157802973958,0.347805760653861,0.693255875505209,0.59615929847938,0.929305849446657,0.757438881488523,0.755720230435114
"infrared_thermography_temperature_(target_2)","uni_loo",16,0.0650714285714164,-0.0339294349840118,0.0220030665257499,0.04174559346002,0.0030210747977904,0.00274777358005637,0.262912786063551,0.629483172044727,0.663823599741804,0.428391102148797,0.502518432233272,0.673473199035783,0.63921629960162,0.646766550173657,0.674269210282898,0.68103084194576,0.671732459537469,0.622296292782396,0.680624101559422,0.588901321883676,0.588651058987105,0.716289667378457,0.717215403647863,0.346892159284107,0.363545045337139,0.328561193819156,0.383447872907544,0.31245458851764,0.595157137290864,0.495727449723874,0.84766145206551,0.692166609750883,0.691679560461581
"infrared_thermography_temperature_(target_2)","uni_loo",17,0.0405042308663669,-0.0302276681227131,0.0368131707245611,0.0370320539901543,0.00195570159448298,0.00284850065274833,0.270628767878963,0.662563255619792,0.699817672809198,0.430339446968421,0.517746568262019,0.71334974804794,0.67629350240149,0.686282364974571,0.715180748933373,0.71350907448095,0.707559446362681,0.654561786183578,0.714333899081818,0.589214109522811,0.615395008643053,0.753559853635024,0.752652622252583,0.389063574684392,0.401147264028715,0.364257964311453,0.430032120331908,0.323258280152876,0.63876729061346,0.555682743084821,0.875435107407031,0.704790846846078,0.704555224842808
"infrared_thermography_temperature_(target_2)","uni_loo",18,0.0565467498917034,-0.0385829226899988,0.0141640399957816,0.0402329286064994,0.00149965990030182,0.00285618342769319,0.119763253281044,0.680020486434409,0.678369375859699,0.456840810531733,0.50446962512267,0.737229949462985,0.68995804314824,0.709543229491726,0.738812333725233,0.703141427149625,0.690802825392773,0.64516495869109,0.704167629687834,0.625004427916774,0.598483903432004,0.762439161735457,0.761938102061065,0.417575686388019,0.431267653910578,0.368317808132272,0.441356829534955,0.353508294625785,0.671896130843336,0.581084929975285,0.904715143999586,0.71285165950649,0.711698801535696
"infrared_thermography_temperature_(target_2)","uni_loo",19,0.0559262447984094,-0.0325832217333016,0.00213867883068125,0.0465814247418491,0.00312424833917852,-0.772205486591891,0.189900716188349,0.658917792118762,0.683908884818546,0.424274750928256,0.510491831649741,0.70727155664188,0.670313805492191,0.688190754887381,0.707968474444342,0.706410603633368,0.696743460802307,0.648288624000978,0.707394096173401,0.608442158598032,0.621236858342392,0.753560101988734,0.753636477985964,0.368837664558418,0.381827287452986,0.358958460712439,0.390781964867517,0.319177492241795,0.6295824811937,0.526865935142617,0.863388210563195,0.680184012216392,0.679938214597191
"infrared_thermography_temperature_(target_2)","uni_loo",20,0.0689830508474467,-0.0356509321259711,0.0442780313926608,0.0250719031280118,0.00261487660843478,-0.198339156060165,0.17228748052071,0.652634557408138,0.667355695708927,0.446896845393046,0.503293473902431,0.702357861050089,0.667483162220364,0.680404299457662,0.703212133750094,0.687507269675508,0.681145252946063,0.626608021385558,0.688076872242171,0.596344827344162,0.607711931140796,0.739564453500907,0.739178451971609,0.363145971462596,0.381198971815976,0.288559963723422,0.393273760457278,0.27928118193702,0.610004149364692,0.491967091435562,0.876205931893346,0.681335587371678,0.68049907060386
