"dataset","method","split_id","carat","depth","table","x","y","z","cut_Good","cut_Ideal","cut_Premium","cut_Very.Good","color_E","color_F","color_G","color_H","color_I","color_J","clarity_IF","clarity_SI1","clarity_SI2","clarity_VS1","clarity_VS2","clarity_VVS1","clarity_VVS2"
"diamond","uni_loo",21,7756.62399365598,-41.9703677701202,234.549956341903,3146.33070841304,3113.37487276196,4728.21812505718,21.7101063011156,-801.616108838725,882.252005058088,31.8857111725191,-992.596299823811,-255.781030474782,69.5648772850474,626.556973574531,1300.33188223136,1438.67672786269,-1019.4166139246,81.8770106789461,1428.70640605094,-184.989826799764,-43.6681084319433,-1482.94499726913,-726.249640256468
"diamond","uni_loo",22,7754.2843648852,-20.0733214979684,229.609657265253,3153.74439224576,2947.00483062045,5044.30141425735,-36.4683866964482,-755.66094439821,900.084727070802,19.6863482515646,-1015.46109588983,-278.815883570009,114.826215536588,653.221668805216,1205.60942289551,1457.44699557855,-1151.00922335689,88.9179426968286,1436.48154792036,-127.85683869985,-37.5231508212563,-1472.75406530939,-708.280722478446
"diamond","uni_loo",23,7728.71037686846,-34.5227995836246,226.970863953629,3146.71518459047,2940.0923672239,4709.7691891532,-64.0694603437241,-814.598153399366,881.109066428942,112.669147399528,-1023.60591181841,-238.089492043314,133.924142582976,611.207602190739,1233.4554004341,1466.6678557069,-1036.60907974055,99.7934467598952,1356.8341523626,-202.128429772942,-26.1359203841768,-1443.27030299929,-675.24306134232
"diamond","uni_loo",24,7760.95465461091,-20.7413417162013,222.721638917111,3163.20359034453,3129.27349061028,5036.9736170747,-10.4158611472632,-796.143700115274,834.28321375506,103.75605986901,-1065.85309261019,-309.629202911244,138.601007718232,582.444220591886,1313.30678363939,1574.68147708167,-935.445562788805,94.8143508772727,1380.50750241096,-137.48465720327,-55.3699352006216,-1539.68480971435,-683.916247726205
"diamond","uni_loo",25,7734.11576732681,-21.8779000517037,241.336796666582,3165.79006406225,2907.28535369642,4755.1489787043,-41.7274144832022,-800.105369568654,868.739334642678,80.1494324704131,-1108.32097966571,-205.88648783157,19.9961569907819,657.71445863367,1462.11800035296,1504.38403266878,-1233.44958887936,33.1218318271976,1408.82162877835,-133.208841376795,34.447408264808,-1580.74188001335,-706.825753494384
"diamond","uni_loo",26,7748.81823496632,-18.4022093081399,221.925391450336,3127.05499779921,3158.55448586862,4704.21279978457,-11.4680774097114,-775.213310346128,847.947820838078,85.4223392892821,-1026.69739040414,-260.674608153855,92.0595510833498,668.290445811062,1269.15027416422,1410.53755041219,-1389.69611907111,120.599287064234,1400.62203385012,-93.015054182666,-40.9109922902744,-1460.31942154835,-766.90376582164
"diamond","uni_loo",27,7798.80714420594,-47.5651380918773,242.689597602022,3173.50674953579,3137.5221234184,5070.92810953742,-18.675596742788,-770.437811682448,851.894067754855,80.6905581936892,-1053.97017277504,-233.984346069245,55.6138601290248,621.816874815854,1328.82536388249,1503.23395191575,-1064.32113064957,54.3898600631641,1332.14485587442,-110.781000885619,55.9936371883333,-1516.89874702956,-760.738704117846
"diamond","uni_loo",28,7787.39876793139,-62.5380830438896,232.843886337798,3145.02965374361,2939.43988420523,4737.37511058398,41.8385073385311,-786.073823883552,900.449969933464,20.3257615893281,-1001.36085946878,-265.722147591689,46.7216885038199,682.012091602962,1245.04226321996,1396.0537291029,-1105.66377468269,77.4690171271458,1287.84115135274,-139.10046190947,76.6743380595144,-1470.72701856571,-705.052017135517
"diamond","uni_loo",29,7778.07090573602,-44.7697771131145,228.149876409122,3158.78296063243,2895.2556066654,4741.5801438161,-32.2284330700525,-822.333343326227,936.011062524051,54.9068525461568,-1034.32544692803,-205.067332941431,74.261745510548,671.594420104159,1290.19326433714,1503.1753771021,-1129.92242651552,120.394972076951,1268.12246712399,-71.1413160137806,15.2133314338582,-1533.13369989697,-713.503242017011
"diamond","uni_loo",30,7783.46588462619,-25.0363319304035,231.61974178004,3158.6869362265,2951.83043296895,5056.78583561568,113.657270939488,-801.316559094195,873.052348297785,21.4625541194463,-1073.21090007076,-225.876527384974,65.2903199985365,764.885351668612,1221.41565771064,1449.80504050444,-1162.24122720091,43.8171652559984,1474.41280354547,-149.637070430079,-21.5121842451141,-1451.87429869216,-764.734150952243
"diamond","uni_loo",31,7808.44315695296,-34.8590967457707,237.191517841423,3160.14672676401,2955.87339470237,4738.92916763294,-6.9348056511749,-803.007868652512,845.294801573214,109.58783841321,-1053.52765027374,-268.626986418071,106.624662682935,731.174292611911,1225.13953269294,1419.72755919504,-1346.93409233721,94.5665036136734,1361.28861706496,-95.755160316516,33.8448818666763,-1478.35478604945,-768.009187338893
"diamond","uni_loo",32,7717.94246780392,-34.3615610808321,236.730348137804,3138.18670840759,2932.65852093297,4710.67952730524,-34.8065451841319,-826.675008171647,855.846666085599,140.216254401869,-1071.92396261964,-284.580127524368,100.451945067762,674.103414957115,1276.70937984097,1462.05904407856,-1221.18539483451,67.555822073134,1370.19255624728,-38.6476853572334,-76.2791269693563,-1441.52812813979,-710.707826142624
"diamond","uni_loo",33,7726.98905665408,6.94897712280273,219.354811966232,3140.39247212747,3171.40077304288,4710.41811360073,-8.58497249906902,-822.226849635238,884.889163269899,67.1470726657585,-1055.09570902268,-252.380880609759,50.8590140289967,635.025192686845,1267.91403320194,1437.71915175756,-1026.17614235306,66.6703604842287,1332.72379159178,-143.927839336508,12.8872556915693,-1515.82037741694,-668.662947979925
"diamond","uni_loo",34,7764.66314814376,-18.9337173031865,225.754606299204,3151.37354466458,2948.90597735074,4728.74304804795,-24.4864685715842,-772.05042442312,882.438743483357,41.6646274159811,-1132.29267364514,-219.105533853847,30.5233725215955,707.623347849163,1212.32189137573,1596.36294275787,-1085.12698371342,124.696759417097,1329.89801510499,-135.817710670718,2.9428738044254,-1536.08295861008,-686.456043412962
"diamond","uni_loo",35,7743.68441464894,-34.3117795972923,219.364634955823,3128.20398122337,2868.1602867865,4978.49514016893,-45.890600867419,-791.108518100774,896.870085384367,51.0947530615634,-1046.19500306099,-236.563388005178,106.247382692044,623.800587303252,1260.72286904432,1373.26957834382,-1101.75000288791,80.1477316432889,1410.44435319781,-79.1817699370923,-36.0589235579149,-1604.75127619784,-731.302307453258
"diamond","uni_loo",36,7736.7080343971,-23.692258520163,233.879312890828,3138.8145379465,3104.48492208217,4715.22563186009,67.0961924017708,-813.968438421968,876.463716728185,49.9664587979602,-1041.28150633039,-301.154675986254,92.3523131528024,674.40797095519,1314.10787421384,1467.54781390979,-1126.71653833503,135.448529776074,1332.92079026255,-86.586889989852,-53.5399868759476,-1472.55919028574,-744.302620508326
"diamond","uni_loo",37,7760.42725444219,-13.5003637833827,233.49756252382,3147.11741482157,2887.67525020409,4732.90317735891,10.8011136587272,-816.279112763604,847.368795910627,83.2323687160077,-1049.78698201628,-208.037886696165,129.689258640992,587.665290302239,1282.04264748093,1424.63750286157,-1109.0760400588,53.4493104526595,1377.85783492791,-80.9566143711194,-13.4663775121118,-1531.98327184002,-740.367713481197
"diamond","uni_loo",38,7743.0280344304,-17.4002283683497,234.250601324368,3148.39188252418,2886.43695725509,5014.32747082766,29.2274499418285,-837.232207309517,873.992369876898,93.5789352611817,-1023.54934957775,-303.716083051656,75.1254000206956,698.978403003002,1289.46470349334,1616.65157841525,-1136.06707198171,126.600305441232,1355.13920726764,-142.088558144188,-29.0448590055577,-1406.83068392187,-802.734580373908
"diamond","uni_loo",39,7760.41994296905,-34.5068590407815,215.043848708708,3135.44398159845,2876.1776863667,4991.06606594425,2.71005314023886,-730.825715065736,843.025298287574,13.1879666424417,-1056.9464701224,-284.557042261726,166.174460347487,596.600007535813,1355.21042055385,1410.63926712593,-1057.72991204603,104.437203697017,1328.30065617321,-120.05968085675,20.2413849676408,-1567.30296871835,-687.986879682521
"diamond","uni_loo",40,7783.17338087199,-36.6857269750685,223.772647248872,3145.01048654736,2885.55525632296,5015.52280494193,118.329296348899,-760.723531394852,848.165665393011,27.9227365933402,-1059.70962391531,-228.941897843156,17.79068943309,634.643437781654,1331.30588151811,1516.41199284502,-1053.63372424024,146.380734253667,1338.14774830315,-199.687665686983,34.009438325386,-1479.50627097919,-801.218088707256
