"dataset","method","split_id","LATITUDE","LONGITUDE","LND_SQFOOT","TOT_LVG_AREA","SPEC_FEAT_VAL","RAIL_DIST","OCEAN_DIST","WATER_DIST","CNTR_DIST","SUBCNTR_DI","HWY_DIST","age","avno60plus_1","month_sold_2","month_sold_3","month_sold_4","month_sold_5","month_sold_6","month_sold_7","month_sold_8","month_sold_9","month_sold_10","month_sold_11","month_sold_12","structure_quality_2","structure_quality_3","structure_quality_4","structure_quality_5"
"miami_housing","uni_loo",21,109762.194425999,680836.296164496,19.106603750479,257.275581871869,11.2748671145319,-3.92112652440614,-4.78225425656915,-3.26144433187607,-2.6476110231318,-5.25203246132246,12.2077208639016,-1782.85277897071,-55968.227281254,-13162.5201290984,-17567.9517487203,16701.0205660863,39033.8278407031,8786.12476298813,-5480.36642340772,-2662.17291194853,-20623.999789824,-4067.67057979253,22619.1501932537,-8027.52029296288,-175976.566430375,1466557.4787234,-42152.5120077908,385821.559078148
"miami_housing","uni_loo",22,113890.677243489,679058.722917263,17.767353385757,256.436181505732,10.7702471389394,-4.58465374044229,-4.74097224419645,-3.54641396599617,-2.74146670168692,-5.27944610591894,11.3558062754836,-1558.9600135023,-61528.9043383415,-5252.3528521644,-7048.64673621967,-3785.62590494171,23016.0565701659,32624.5906617413,-6559.76227911653,3852.03537618566,-19865.9689995719,4452.26266708115,-1481.87095534183,-12922.7124645622,-185011.320861042,1210665.10965795,-37912.4030526876,389334.975872763
"miami_housing","uni_loo",23,101300.812424241,666929.062891766,17.7534054844624,264.322615569867,11.656625097173,-3.70099196736371,-4.73655362850238,-3.2814051974321,-2.70623450682388,-5.26409642039561,11.7233705099588,-2039.96194093112,-79646.371923693,-3954.79238562396,-8011.3632857909,-22187.0038378053,34324.889334459,17990.0374898536,-12087.868411601,-5557.37299462808,1477.06942919758,349.140141222426,6523.84866911687,-2792.96663631424,-181890.921153437,1135762.12474849,-41693.9974834988,410520.102763397
"miami_housing","uni_loo",24,103890.063825955,657733.784593675,19.0988878137022,259.573807549653,11.6701700543923,-4.31085522446167,-4.79709572420037,-3.24688059191817,-2.59503394886414,-5.15712470571908,11.8737667964502,-2039.15317797328,-61018.9558859123,1886.79541696928,-14982.1861047424,895.326264530347,17679.0117379148,30099.6059526498,-25757.4916639449,-1428.22543093339,-21486.4417434535,-14990.6453715304,11417.4246197068,5580.61422601711,-188495.010714388,1418773.75959741,-36204.877713749,391551.507445966
"miami_housing","uni_loo",25,97026.6607043538,682933.098758999,17.8177744697489,261.045311609263,11.4376624492666,-2.81191326468958,-4.85605020534006,-3.34847177368901,-2.67601366053952,-5.27386703301227,12.0095313651471,-1930.01373517015,-64639.556291873,5501.53470951609,-12487.7306946522,-14845.6754511987,29066.4973073074,39901.2459566751,5133.42148891784,-5192.93667452086,-31607.5506453002,-11668.8017484295,13829.8981543766,-3069.68278003403,-186481.004906466,1285633.94745442,-43653.4387069811,395323.494018784
"miami_housing","uni_loo",26,119869.90219034,691638.191290314,19.8734986198544,258.548934542402,11.4396774246416,-4.18701114735935,-4.79253951883954,-3.39973987229865,-2.68153026177956,-5.19515963053942,12.1995225513064,-1614.28133597981,-84383.1950643707,5728.67883945002,-16444.1466010933,-9945.92946788531,18466.1542561561,36039.6694598355,6256.22747116016,-1530.59875675096,-11585.3489867018,-6716.70037817274,12326.3821327196,-24933.7315416137,-182148.554569809,1558476.31609195,-37770.2122683451,394344.91848573
"miami_housing","uni_loo",27,106328.571800981,696244.480831062,19.3945121716347,264.160948221356,11.4419167364014,-4.43434337692618,-4.88268639071596,-3.43830310341809,-2.71553953269321,-5.38260426714764,11.9120871621209,-1828.38636646652,-74603.8049480553,-4756.57423673758,-11729.476531118,-11214.0451871528,39853.5254257583,14956.0430540241,8251.10328178355,3876.03177429569,-21014.0181543816,-1705.03096794277,24771.5216770119,-21522.7378127431,-185559.266113297,1326276.51085238,-36881.5608938422,403510.161983255
"miami_housing","uni_loo",28,129313.939785957,721594.915466462,18.6214989496807,261.837969711648,11.6584470238382,-3.90309258783676,-4.92127158367385,-3.61588100998309,-2.63507274373639,-5.09877949477381,12.3416379818265,-1927.90383516153,-63722.1862824338,-7516.55610874242,-16494.9867502826,-10079.0998910269,17920.6532776356,17976.5615770062,8909.33678919262,-6086.25309309307,-15936.4354354523,-3070.80747255167,22227.7739348335,-3776.33509676285,-184514.96433189,1378991.63466513,-41653.8168496358,415010.216775275
"miami_housing","uni_loo",29,101670.061636162,697014.135512377,19.3364299505079,263.614699500445,11.1911703555197,-3.97105203077534,-5.06024491681897,-3.39957275610741,-2.66310799500772,-5.33502926907169,12.3759015450177,-1799.27355335004,-73933.6907287578,-14505.2361783357,-4855.14780075834,2283.39420084105,47867.0659786206,32908.2842452603,-13472.6997374878,-16012.1195885887,-5295.05768863133,-2207.28374299593,-4877.89546157729,-9660.21343377273,-186808.788860555,1550609.11468813,-34508.7417497157,397898.648614012
"miami_housing","uni_loo",30,117333.212147899,776016.423405855,19.5857493253125,264.594420094032,11.4454997779324,-3.64988377706429,-5.36615510149142,-3.72989816563284,-2.82162839477734,-5.48393273290928,12.962197292272,-1752.03841255409,-75608.8724749457,-10029.6185521358,4375.42591658391,-6593.64037466728,44171.1365147199,26058.83372052,-13253.2933967251,-24229.5038961039,-24147.3845451684,-4171.59527224084,6300.73258808985,-1287.74283534542,-189284.432515079,1504689.94330056,-43813.4949186088,419655.97261968
