"dataset","method","split_id","age","bmi","children","sex_male","smoker_yes","region_northwest","region_southeast","region_southwest"
"insurance","unilasso_loo_true",40,252.344206099141,301.103207263772,205.864353498552,0,24505.5809308008,0,0,0
"insurance","unilasso_loo_true",41,260.62190381374,339.252304378927,236.759473934174,0,24730.3795151055,0,0,0
"insurance","unilasso_loo_true",42,254.762808645008,335.790234540298,392.277660472807,0,23762.5294473345,0,0,0
"insurance","unilasso_loo_true",43,245.836748636573,283.027769224993,0,0,24242.2571121429,0,0,0
"insurance","unilasso_loo_true",44,231.943903391925,346.652425356334,428.451945083462,0,23966.7308920337,0,0,-318.72260578162
"insurance","unilasso_loo_true",45,256.82729182262,300.326273441701,428.246994851114,0,23823.1963472813,0,0,0
"insurance","unilasso_loo_true",46,266.740278713987,291.67877936137,329.51300272049,0,24190.0144797604,0,0,-1317.08698871103
"insurance","unilasso_loo_true",47,264.962151688444,323.643180315924,259.445897651208,0,24167.4886565045,0,0,-205.045973504939
"insurance","unilasso_loo_true",48,233.956984338704,330.908001191398,0,0,23314.5794566404,0,0,0
"insurance","unilasso_loo_true",49,240.357940720935,271.474644514675,224.406209279564,0,23144.6407245961,0,0,0
"insurance","unilasso_loo_true",50,265.807368922655,303.159381131327,474.923929942597,0,24045.8784971889,0,0,0
"insurance","unilasso_loo_true",51,255.867813582844,281.774648139317,0,0,24465.4771675016,0,0,0
"insurance","unilasso_loo_true",52,272.788403576111,247.834080262342,0,0,24140.9659048732,0,0,0
"insurance","unilasso_loo_true",53,276.713379382403,294.4749859545,0,0,24713.7885046385,0,0,0
"insurance","unilasso_loo_true",54,249.075161658627,333.808739510319,343.912761432186,0,24300.8513394904,0,0,0
"insurance","unilasso_loo_true",55,282.466761417357,285.215091945806,229.566294376173,0,23613.7421404559,0,0,0
"insurance","unilasso_loo_true",56,274.539140707373,319.023843885799,417.879498415876,0,23868.2047227422,0,0,0
"insurance","unilasso_loo_true",57,243.225494873452,370.732209586624,351.247529532147,0,23834.6340328267,0,0,0
"insurance","unilasso_loo_true",58,261.946775614838,307.974675145104,267.392016098394,0,24746.1201474581,0,0,-668.501597536598
"insurance","unilasso_loo_true",59,239.580482083701,284.75235429232,383.185493433671,0,21943.6446369398,0,0,0
"insurance","unilasso_loo_true",60,251.57731100977,333.788102287785,0,0,23938.0756845882,0,0,0
"insurance","unilasso_loo_true",61,239.348069349572,327.872250783019,372.192919484286,0,23991.709143775,0,0,0
"insurance","unilasso_loo_true",62,259.20091625353,352.581761521343,182.899921005072,0,23158.2105176411,0,0,0
"insurance","unilasso_loo_true",63,239.292603302675,318.609652560437,656.51863808851,0,23605.9259089475,0,0,0
"insurance","unilasso_loo_true",64,254.418407848856,297.355436344486,0,0,23149.6761324207,0,0,0
"insurance","unilasso_loo_true",65,265.740095238638,274.229980986418,500.738364462658,0,24565.7892402772,0,0,0
"insurance","unilasso_loo_true",66,276.758540426014,237.884366017115,292.127694570512,489.939653063949,24391.8817999211,0,0,0
"insurance","unilasso_loo_true",67,267.003873429389,309.417408429389,196.773391126349,0,25053.0980227456,0,0,0
"insurance","unilasso_loo_true",68,236.762240821281,363.290328691663,359.54206791066,0,24366.3674654173,0,0,0
"insurance","unilasso_loo_true",69,261.910666247255,350.213008916039,229.237705767786,0,24433.9851816604,0,0,0
"insurance","unilasso_loo_true",70,243.31838654566,324.751190744384,251.491182892077,0,23168.1416716933,0,0,0
"insurance","unilasso_loo_true",71,265.70513859173,262.569156095087,0,0,23787.7232172688,0,0,0
"insurance","unilasso_loo_true",72,244.800972298226,279.822675106193,423.501685683844,0,24395.5915371233,0,0,0
"insurance","unilasso_loo_true",73,267.617784493683,342.68755443586,0,0,24279.1146666878,0,0,0
"insurance","unilasso_loo_true",74,256.237267408141,335.97877349021,278.932423600555,0,24407.1013491572,0,0,0
"insurance","unilasso_loo_true",75,250.056242583699,331.017592376258,343.758071928823,0,23268.1810354904,0,0,0
"insurance","unilasso_loo_true",76,257.76342396685,347.159937221806,0,0,23783.6261538176,0,0,0
"insurance","unilasso_loo_true",77,234.167211914851,274.855145281899,408.94717981935,0,22988.9448815628,0,0,0
"insurance","unilasso_loo_true",78,251.550768489465,320.207632607516,628.884332998079,0,23938.5605678255,0,0,0
"insurance","unilasso_loo_true",79,260.156863641494,317.282949953005,0,0,24273.7099250747,0,0,0
"insurance","unilasso_loo_true",80,252.379650694334,216.593616123731,657.504128168692,0,24238.3461434327,0,0,0
"insurance","unilasso_loo_true",81,257.978224159589,280.128238930998,249.574998416066,0,24329.9285939889,0,0,0
"insurance","unilasso_loo_true",82,260.226122221218,271.741009921797,264.249176277193,0,24150.2043875623,0,0,0
"insurance","unilasso_loo_true",83,249.820793288282,295.659349127687,601.402197929385,0,23149.312963987,0,0,0
"insurance","unilasso_loo_true",84,254.417076554146,282.552289015833,369.214964181345,0,24019.6190188024,0,0,0
"insurance","unilasso_loo_true",85,283.489342008537,356.527252229834,251.801101677248,33.7037304020453,24579.9046213541,0,0,0
"insurance","unilasso_loo_true",86,243.591242463776,324.283767036857,0,0,24144.824186135,0,0,0
"insurance","unilasso_loo_true",87,260.447898474202,293.767026771013,411.258702775084,0,23908.2509924637,0,0,0
"insurance","unilasso_loo_true",88,267.987047790465,307.708605010668,262.139739874109,0,22972.7548802671,0,0,-703.757499833663
"insurance","unilasso_loo_true",89,268.778712498203,287.142623262267,0,0,23375.138054205,0,0,0
"insurance","unilasso_loo_true",90,248.376562089073,363.890914545874,543.039690803753,0,23985.6553626156,0,0,0
"insurance","unilasso_loo_true",91,249.422689731943,283.646020290594,204.334524893995,0,23601.3197446573,0,0,0
"insurance","unilasso_loo_true",92,264.048238478161,313.440261749381,413.799753348708,0,23758.1216325412,0,0,0
"insurance","unilasso_loo_true",93,253.705526668076,306.344686962589,383.181767745924,0,24003.0279877459,0,0,0
"insurance","unilasso_loo_true",94,254.832369604698,319.626133149295,0,0,23656.5515469707,0,0,0
"insurance","unilasso_loo_true",95,248.959302967265,274.271075278383,0,0,23354.964637496,0,0,0
"insurance","unilasso_loo_true",96,245.736996471859,328.386731682346,566.88902160171,0,23453.8328927984,0,0,0
"insurance","unilasso_loo_true",97,252.068681444036,363.718365430124,463.493201144967,0,24141.3556993972,0,0,0
"insurance","unilasso_loo_true",98,254.756796543659,300.961225711623,395.275864830503,0,24628.2432606425,0,0,0
"insurance","unilasso_loo_true",99,262.51494864264,321.264408248848,0,0,24856.3529542106,0,0,0
"insurance","unilasso_loo_true",100,256.890751007208,284.083627549024,373.64288234773,0,23812.5099571951,0,0,0
"insurance","unilasso_loo_false",1,272.825985739166,260.175859777695,0,0,23490.9892828057,0,0,0
"insurance","unilasso_loo_false",2,236.454582687689,306.473615345944,352.227874859718,0,24416.8588266379,0,0,0
