"dataset","method","split_id","climbRate","Sgz","p","q","curRoll","absRoll","diffClb","diffRollRate","diffDiffClb","SaTime1","SaTime2","SaTime3","SaTime4","diffSaTime1","diffSaTime2","diffSaTime3","diffSaTime4","Sa"
"elevator","polish_unilasso",85,3.52612147910802e-06,-6.56231982916871e-06,0.00198547336799676,0.0304865999006682,-7.4576444124556e-05,0.000787124897252452,0.000188117618087107,0.230453894386252,0.00101559573826508,-4.09937324851527,-0.0302200345768254,0,-9.45057378783195,0,0,0,0,0
"elevator","polish_unilasso",86,3.47670773637885e-06,-6.0720984047755e-06,0.002159608556583,0.031870060053158,-0.000117898354781374,0.000804924573768919,0.000202388471397429,0.229879073138988,0.00104904139940535,-3.23951039797129,-0.145732724194283,-1.56557133400565,-7.36274533986395,0,0,0,0,-1.23481562718811
"elevator","polish_unilasso",87,3.49804238159821e-06,-7.19177188578465e-06,0.00203572660974531,0.0322445248128245,-0.000149295557158115,0.000797644943112229,0.000209165226582694,0.220826085492745,0.00114291659829443,-2.45017735397568,-0.0827683796516476,-2.79784900285261,-1.88341104420831,0,0,0,4.76264857904193,-6.18749143637494
"elevator","polish_unilasso",88,3.48808138705239e-06,-7.64080135353822e-06,0.0020703460397335,0.0328651091580873,-7.56968735830006e-05,0.000818539762695518,0.000205897964615281,0.233252749879014,0.00113352153805777,-1.17047025216475,-2.71462366827956,-0.863326496148246,-6.03407234528038,0,0,0,27.0862463831443,-2.65600862386288
"elevator","polish_unilasso",89,3.44633656618831e-06,-6.00371400177483e-06,0.00217810530104396,0.0283164665746611,-0.000151046175945425,0.000767373880087384,0.000170983931306955,0.231075519276802,0.000989508856618881,-3.06855914533316,-0.0239860855489508,-5.9449129362716e-05,-8.28153306623881,0,0,0,27.0221293458031,-2.30118061073504
"elevator","polish_unilasso",90,3.3879563779972e-06,-8.93905891024503e-06,0.00227637164220964,0.0312266573437934,-0.000220127403994174,0.000810157888975794,0.000194265227676872,0.231274664084276,0.00105025067269812,-2.73672503506895,-0.0745425048557211,-0.545294862857044,-9.54135556883188,0,0,0,0,-0.819225152656299
"elevator","polish_unilasso",91,3.64986935300685e-06,-7.66404296461335e-06,0.00210716953742592,0.032295958055537,-0.000175705057568094,0.000810650687936665,0.00020323262493223,0.228476935141591,0.0011110439110897,-3.67550399787243,-0.0736510601667123,-2.14480564118306e-17,-9.81121376033542,0,0,0,0,-1.34431238335903e-13
"elevator","polish_unilasso",92,3.51493758753849e-06,-6.09232412820161e-06,0.00222854661037965,0.0309165966386002,-0.000134159782086396,0.000788453570207137,0.000193527073136464,0.228166029331904,0.00107902509699986,-2.88907690373928,-0.295901600441036,-0.866638476547593,-6.62653831745282,0,0,0,33.9258902868016,-2.81892606217341
"elevator","polish_unilasso",93,3.39804721004191e-06,-7.12021004908906e-06,0.00213155750136133,0.0303580678852705,-0.000121686990937937,0.00077861757949417,0.000192604980321827,0.226797593525141,0.00103193009190903,-3.3375952726366,-0.00086809765554593,0,-9.98328992460884,0,0,0,0,0
"elevator","polish_unilasso",94,3.3452384657868e-06,-4.45935453706146e-06,0.00203334863736448,0.0301767599179307,-0.000123433773658313,0.000794317070632688,0.000192393657303306,0.238156964792949,0.00104537113607119,-3.74939887409428,0,0,-8.72871298672501,0,0,0,0,-1.29856765752453
"elevator","polish_unilasso",95,3.44706745896879e-06,-6.46234486957346e-06,0.00229391277872042,0.027544806839764,-0.000157198495969492,0.000772011990878372,0.000170943391105697,0.232497243535076,0.000958243125140397,-2.2880118195354,-2.49743494576267,0,-8.97161494836696,0,0,0,0,0
"elevator","polish_unilasso",96,3.59255573379234e-06,-6.77435616052247e-06,0.00206343369631876,0.0286235712861701,-0.000105692401525458,0.000780500517926377,0.000173687342044006,0.234447303882108,0.00103070815111623,-3.64488352274682,-0.149714603226178,-0.0532365276533038,-7.75946679628436,0,0,0,26.824250174775,-2.09303136967333
"elevator","polish_unilasso",97,3.37936064763787e-06,-7.52865328030004e-06,0.00206494684899361,0.0283508516170106,-0.000139944374210227,0.000757423973279188,0.000170145929029943,0.230394008400276,0.000944531512454406,-2.92572550221555,-0.00828417660284947,-0.000665284659751887,-9.87676112017513,0,0,0,0,-0.763584574833867
"elevator","polish_unilasso",98,3.40695056269139e-06,-6.83863129093378e-06,0.00207268122180449,0.0303491446584249,-0.000151114187469189,0.000801895495342451,0.000192188889176639,0.225317046060917,0.00103304528658153,-3.87099239489763,-0.0444899026737971,-1.53651744550903e-17,-9.66084586688376,0,0,0,0,-8.79657088979078e-14
"elevator","polish_unilasso",99,3.47437070297243e-06,-7.65306346241013e-06,0.00202652971985007,0.0283502710500355,-0.000143496658991444,0.000766903574401908,0.000169486386976889,0.23231096246963,0.000971522605992736,-2.46265742426171,-1.34549283759254,0,-9.7137404186015,0,0,0,0,0
"elevator","polish_unilasso",100,3.44340629590762e-06,-5.74277381776471e-06,0.00213504935958269,0.0306024985733014,-0.000144836721554734,0.000796225933996044,0.00018994180309664,0.233203008521249,0.000982063303052241,-2.48942864244004,-1.54663048343849,-2.32927907795344e-14,-9.65499412312251,0,0,0,0,0
"elevator","lasso_cv",1,3.0875921178511e-06,5.30089404761384e-06,0.00373405438035995,0.00221205289279089,-2.4895150268702e-05,0.00166146457398501,-5.26614367447013e-05,0.537468200235935,-7.00921518465623e-05,-5.27825402154754,-4.57540900202907,0,-19.566482030958,3.07460323693963,-10.2925777280582,4.50455763101266,0,0
"elevator","lasso_cv",2,3.1568420615423e-06,6.37511487582051e-06,0.00386998308498593,0.000123125268158315,-1.51983712319271e-05,0.00161758522093602,-6.88757499841143e-05,0.533158065590053,-9.91720956112469e-05,-4.6089816775023,-4.13435087701123,0,-20.618859739704,2.17744723064408,-10.5390132705155,3.94430076222234,0,0
