"dataset","method","split_id","u1","u2","u3","u4","u5","u6","u7"
"debutanizer","uni_loo",55,0.0558850337364281,-0.5971273359153,-0.196093524555908,0.178661750453549,-0.258373679987135,-0.0572469192801097,-0.0360785815378867
"debutanizer","uni_loo",56,0.033294680277629,-0.66423805908683,-0.206139190634764,0.175974362035757,-0.338839092103698,-0.0659912849877163,-0.0436127101907019
"debutanizer","uni_loo",57,0.132599276286487,-0.551401834885685,-0.185123335449618,0.179242960056151,-0.285473469913983,-0.081977083105083,-0.0609787515362409
"debutanizer","uni_loo",58,0.0683493626023121,-0.524798851270772,-0.197448569862401,0.188191625543092,-0.266536688889245,-0.0612388328718651,-0.0409134303945014
"debutanizer","uni_loo",59,0.0556896095975961,-0.611997872667049,-0.229499340697616,0.16197151072908,-0.31634509309796,-0.0869806575000705,-0.0653171868271052
"debutanizer","uni_loo",60,0.116438842459396,-0.641734321070091,-0.167625286100708,0.191871056879112,-0.244662906031213,-0.0440917501768797,-0.0263236609531176
"debutanizer","uni_loo",61,0.198705373507565,-0.647549901950313,-0.208019231889558,0.159801216229981,-0.209636788687392,-0.0268879033844204,-0.00775150964295111
"debutanizer","uni_loo",62,0.165697821384132,-0.619549789713983,-0.182648763652226,0.146562824490341,-0.247278444344767,-0.0832885320561922,-0.0592730334923647
"debutanizer","uni_loo",63,0.108692866500801,-0.608722906150897,-0.199122227174628,0.170436292166371,-0.258798485356424,-0.057675596571774,-0.0368227833422263
"debutanizer","uni_loo",64,0.0489608660298039,-0.594085718519965,-0.197810970463311,0.180265755944579,-0.243634967880596,-0.0501075813381294,-0.026277614364774
"debutanizer","uni_loo",65,0.116889134150722,-0.533985165855332,-0.2028370438668,0.113258827483241,-0.283723790833793,-0.0792806004957098,-0.058141556663559
"debutanizer","uni_loo",66,0.117579391382952,-0.652779579384536,-0.1777370653156,0.169434553941547,-0.222679479868726,-0.048131382421308,-0.0310340200122217
"debutanizer","uni_loo",67,0.123788072774238,-0.563982501089852,-0.193689738874445,0.195351264784849,-0.26464837869268,-0.0667982613349124,-0.0444858574078835
"debutanizer","uni_loo",68,0.0754989244335657,-0.642286861474474,-0.226338045714313,0.137445358666466,-0.258106546156725,-0.0674413589978732,-0.0432648280756045
"debutanizer","uni_loo",69,0.0332007025573658,-0.460101314663627,-0.178556214504305,0.218042617704698,-0.265070019053037,-0.0326172026931899,-0.0135174539192144
