"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"ca_housing",24,4953725700.1889,7,0,4949668082.18298,7,0,4948860108.42285,8,1,4913541124.24365,8,1,4941938533.9299,7,0,4911784837.28146,8,1
"ca_housing",25,4797429998.86139,7,0,4798864403.22252,7,0,4783282118.70769,8,1,4783730395.33261,8,1,4797128913.70079,7,0,4784236024.73226,8,1
"ca_housing",26,4928748761.53817,7,0,4939515107.99018,7,0,4911345971.26192,8,1,4910069746.86119,8,1,4929735317.13075,7,0,4910793090.05556,8,1
"ca_housing",27,4639588079.97546,7,0,4634678240.96058,7,0,4640805847.26752,7,0,4597417375.89381,8,1,4625385775.52145,7,0,4595221990.0909,8,1
"ca_housing",28,4875917597.71135,7,0,4865232037.38376,7,0,4855517976.8519,8,1,4840988226.55146,8,1,4858015397.96931,7,0,4839401957.65677,8,1
"ca_housing",29,4822669600.15756,7,0,4815212143.69918,7,0,4823638845.49389,8,1,4778420568.33177,8,1,4810239828.27493,7,0,4774519498.39509,8,1
"ca_housing",30,4886324648.929,7,0,4878759059.77072,7,0,4864506425.80308,8,1,4855326952.08854,8,1,4873805330.82066,7,0,4855619364.66466,8,1
"ca_housing",31,4859370986.0982,7,0,4860675309.96949,7,0,4837822069.09506,8,1,4829469036.40441,8,1,4860150234.33711,7,0,4829055651.0568,8,1
"ca_housing",32,4858397420.19748,7,0,4866948036.7241,7,0,4844248255.77223,8,1,4834545572.21437,8,1,4860472120.98102,7,0,4834971949.63619,8,1
"ca_housing",33,4823210804.04667,7,0,4816858858.11062,7,0,4796270019.82358,8,1,4794151262.27252,8,1,4807681391.79867,7,0,4792063917.74372,8,1
"ca_housing",34,4882432369.44969,7,0,4887397048.72997,7,0,4867218296.60036,8,1,4855665104.74266,8,1,4884705952.32755,7,0,4855665083.08936,8,1
"ca_housing",35,4796029908.48087,7,0,4783030213.98929,7,0,4792631493.40828,8,1,4745917744.39939,8,1,4772170070.85617,7,0,4741451235.89044,8,1
"ca_housing",36,4801230417.79104,7,0,4804145168.6574,7,0,4782784357.52705,8,1,4781026604.99751,8,1,4802598649.20685,7,0,4781570304.65432,8,1
"ca_housing",37,4790321891.60004,7,0,4796372896.69855,7,0,4773716844.87958,8,1,4768400405.02158,8,1,4790900884.99057,7,0,4768457518.89688,8,1
"ca_housing",38,5036155618.90203,7,0,5041363487.97139,7,0,5013951221.94214,8,1,5013221802.11609,8,1,5037066636.43516,7,0,5013692641.56454,8,1
"ca_housing",39,4842148626.79288,7,0,4850812615.47576,7,0,4828996501.29823,8,1,4827000591.89496,8,1,4842748293.85552,7,0,4827211481.67587,8,1
"ca_housing",40,4830233738.86966,7,0,4833788057.49213,7,0,4815257261.25335,8,1,4802245309.55224,8,1,4830611838.42319,7,0,4802245274.97077,8,1
"ca_housing",41,4916863363.61725,7,0,4919029849.27642,7,0,4894829101.86617,8,1,4889797872.8866,8,1,4918275851.85318,7,0,4890456807.47692,8,1
"ca_housing",42,4691877199.9864,7,0,4681312079.75757,7,0,4663507500.72704,8,1,4664488144.16633,8,1,4683848890.67874,7,0,4665232264.2813,8,1
"ca_housing",43,4674550951.68229,7,0,4665879863.99359,7,0,4647749555.40842,8,1,4645322552.24483,8,1,4668194907.82322,7,0,4645861148.37668,8,1
"ca_housing",44,4782264290.43462,7,0,4777444042.17384,7,0,4781227415.23577,7,0,4732948570.21772,8,1,4767128935.61821,7,0,4729496035.83978,8,1
"ca_housing",45,4903683288.12167,7,0,4909359196.62441,7,0,4880203606.7555,8,1,4878845102.94126,8,1,4904006200.61071,7,0,4879047116.10881,8,1
"ca_housing",46,4935607808.68309,7,0,4941421035.77415,7,0,4916538413.60038,8,1,4912979206.63555,8,1,4937354147.23652,7,0,4912979264.10493,8,1
"ca_housing",47,4836691916.03404,7,0,4824783935.37971,7,0,4810965675.42019,8,1,4792572102.04448,8,1,4820774406.55634,7,0,4789356747.10954,8,1
"ca_housing",48,4962271825.1823,7,0,4950461871.67644,7,0,4961539451.56666,7,0,4912295939.60208,8,1,4950842362.37689,7,0,4907970216.87734,8,1
"ca_housing",49,4823809479.66996,7,0,4827003363.48185,7,0,4806003942.03796,8,1,4805279842.98801,8,1,4824727753.19348,7,0,4806529782.15245,8,1
