"dataset","method","split_id","AT","V","AP","RH"
"powerplant","unilasso_loo_true",48,-1.63727545082759,-0.327234161613399,0.16544921545287,0
"powerplant","unilasso_loo_true",49,-1.63704111799958,-0.325657228934603,0.151565955629792,0
"powerplant","unilasso_loo_true",50,-1.63175485288777,-0.328630332285647,0.148540354592812,0
"powerplant","unilasso_loo_true",51,-1.62831746591998,-0.321494549023447,0.160119635279926,0
"powerplant","unilasso_loo_true",52,-1.62997600995115,-0.332174485868961,0.156315010036939,0
"powerplant","unilasso_loo_true",53,-1.65190397770517,-0.330325794888586,0.14426401605809,0
"powerplant","unilasso_loo_true",54,-1.60814830176299,-0.333046434272324,0.17538889799651,0
"powerplant","unilasso_loo_true",55,-1.63012354083705,-0.33324346488808,0.152514114938752,0
"powerplant","unilasso_loo_true",56,-1.62041938962685,-0.338705938926352,0.153210806709867,0
"powerplant","unilasso_loo_true",57,-1.62758450775316,-0.331924832318518,0.151762899012807,0
"powerplant","unilasso_loo_true",58,-1.64646106748107,-0.321082972423514,0.157329326566892,0
"powerplant","unilasso_loo_true",59,-1.64121413307912,-0.328968194799109,0.144446353754312,0
"powerplant","unilasso_loo_true",60,-1.61436842933286,-0.336509208173751,0.159439789390644,0
"powerplant","unilasso_loo_true",61,-1.63869082064815,-0.33585561926723,0.137330267861169,0
"powerplant","unilasso_loo_true",62,-1.59581835313253,-0.341811289052452,0.184030752929373,0
"powerplant","unilasso_loo_true",63,-1.65087577089619,-0.319004052948587,0.157375407975744,0
"powerplant","unilasso_loo_true",64,-1.65943458523591,-0.313835676756367,0.157744494396062,0
"powerplant","unilasso_loo_true",65,-1.64689681968002,-0.319399577299535,0.153537874085556,0
"powerplant","unilasso_loo_true",66,-1.63003159398846,-0.32562939533654,0.145807506326791,0
"powerplant","unilasso_loo_true",67,-1.62301351035434,-0.329302286890767,0.161779713030528,0
"powerplant","unilasso_loo_true",68,-1.59788818583986,-0.34090970324727,0.166614346456909,0
"powerplant","unilasso_loo_true",69,-1.63340941573953,-0.326280790698358,0.155698363548585,0
"powerplant","unilasso_loo_true",70,-1.64151553569396,-0.319594373868627,0.160404301586563,0
"powerplant","unilasso_loo_true",71,-1.65553501994035,-0.319378019199169,0.145820438720705,0
"powerplant","unilasso_loo_true",72,-1.62651972997701,-0.336289076572526,0.154909314743696,0
"powerplant","unilasso_loo_true",73,-1.6427637143463,-0.323967886678885,0.153096376070307,0
"powerplant","unilasso_loo_true",74,-1.65113288184888,-0.324382533143784,0.161207027538933,0
"powerplant","unilasso_loo_true",75,-1.63640495027676,-0.329547374119572,0.143755137669762,0
"powerplant","unilasso_loo_true",76,-1.62662556150118,-0.327114024845487,0.1645467512006,0
"powerplant","unilasso_loo_true",77,-1.6509478485489,-0.32536009326259,0.149374396729881,0
"powerplant","unilasso_loo_true",78,-1.62743481270048,-0.332296204277458,0.163972803600567,0
"powerplant","unilasso_loo_true",79,-1.62337506397827,-0.328475542811052,0.156133157313277,0
"powerplant","unilasso_loo_true",80,-1.62679117115785,-0.340136946113272,0.141604499843382,0
"powerplant","unilasso_loo_true",81,-1.64158437170034,-0.33022152357527,0.154344155650609,0
"powerplant","unilasso_loo_true",82,-1.648557294641,-0.319954830679913,0.144998828607796,0
"powerplant","unilasso_loo_true",83,-1.61774386533164,-0.339269416761622,0.167658744949322,0
"powerplant","unilasso_loo_true",84,-1.63759100498799,-0.323675421162444,0.155472937886355,0
"powerplant","unilasso_loo_true",85,-1.60843161991727,-0.333884172950916,0.168135216342106,0
"powerplant","unilasso_loo_true",86,-1.64994807412583,-0.321072898371941,0.146230882412787,0
"powerplant","unilasso_loo_true",87,-1.63206549981809,-0.330935903833448,0.158695145663434,0
"powerplant","unilasso_loo_true",88,-1.64902039276146,-0.318401796389871,0.149674327475173,0
"powerplant","unilasso_loo_true",89,-1.64576684633809,-0.320818030359895,0.149253348106387,0
"powerplant","unilasso_loo_true",90,-1.64680574050339,-0.325417870175764,0.14550918292341,0
"powerplant","unilasso_loo_true",91,-1.63547362520839,-0.327786029465,0.169249736461373,0
"powerplant","unilasso_loo_true",92,-1.64855874321416,-0.331568436241261,0.141036067277511,0
"powerplant","unilasso_loo_true",93,-1.63520263900204,-0.328596458715477,0.156250041016311,0
"powerplant","unilasso_loo_true",94,-1.62023629844828,-0.330047518709352,0.158022619695194,0
"powerplant","unilasso_loo_true",95,-1.66148290178184,-0.324137589433989,0.152725777731392,0
"powerplant","unilasso_loo_true",96,-1.62873768056652,-0.337334237100383,0.169164274185498,0
"powerplant","unilasso_loo_true",97,-1.62504991581803,-0.330982835976804,0.161868710331711,0
"powerplant","unilasso_loo_true",98,-1.62252575076785,-0.329805994256856,0.168054328746405,0
"powerplant","unilasso_loo_true",99,-1.63301945911095,-0.329644167716038,0.145237360441182,0
"powerplant","unilasso_loo_true",100,-1.65515863006844,-0.319301070313449,0.159859398468552,0
"powerplant","unilasso_loo_false",1,-1.62524901127575,-0.32431546877671,0.15939772322838,0
