"dataset","method","split_id","theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8"
"kin8nm","uni_loo",24,-0.0459139397383072,-0.0252720889816453,-0.15357699518755,-0.0266571876522054,0.0709931705710338,-0.040674730116001,-0.0382172273414255,0.0219445356444473
"kin8nm","uni_loo",25,-0.0440094686464389,-0.022313147922136,-0.154866237547135,-0.0280343214490828,0.0692672304675711,-0.0426864661335256,-0.0359208017526458,0.02682712882644
"kin8nm","uni_loo",26,-0.0479172515069297,-0.0271508177498906,-0.157869966504854,-0.0201054075118899,0.0709129940199685,-0.0402462241503402,-0.0387126311496149,0.0233082203080986
"kin8nm","uni_loo",27,-0.0388864430007382,-0.0289234481720105,-0.149356413601887,-0.0263431031759074,0.0639912778384408,-0.043984834551496,-0.0360230502103174,0.0182586390725703
"kin8nm","uni_loo",28,-0.0422276547837015,-0.024783918147796,-0.153430703145322,-0.0255007034101483,0.0718438794492579,-0.0363045618379571,-0.0438640837442136,0.0241664297378303
"kin8nm","uni_loo",29,-0.0419515009560429,-0.0231865065365206,-0.156162719312949,-0.0287293467715327,0.0664056125116375,-0.0378538543329952,-0.0405522575038157,0.0185616202649188
"kin8nm","uni_loo",30,-0.0373255379492626,-0.024417125529359,-0.158546720229953,-0.0252111888298896,0.0721882239334692,-0.0374225802036961,-0.0396692784518401,0.0230437716553384
"kin8nm","uni_loo",31,-0.043222685261993,-0.0139696902177758,-0.151415445119088,-0.0313285436813633,0.0686263262566951,-0.0372198105871474,-0.0473982119797172,0.0243046316564507
"kin8nm","uni_loo",32,-0.0439565408093284,-0.0243238231550518,-0.154076390463099,-0.0309188106099091,0.0653659917470129,-0.0412397722938471,-0.041572491814196,0.0183916188609547
"kin8nm","uni_loo",33,-0.0365668028323835,-0.0267495609022468,-0.152235840334957,-0.0322134294040833,0.0704186762090057,-0.0381240301767612,-0.0373663826091156,0.0243372171434819
"kin8nm","uni_loo",34,-0.0395817243633535,-0.0287103954464012,-0.150197896211994,-0.0266403861734002,0.0711329859068773,-0.0416912865111069,-0.0410649116490345,0.026589669461064
"kin8nm","uni_loo",35,-0.0498840443832744,-0.0235091326826129,-0.150662613716555,-0.0240641327385337,0.064357239887867,-0.0474803344066214,-0.0416209363583809,0.0211496619453568
"kin8nm","uni_loo",36,-0.0425229769034395,-0.0172760858249392,-0.157648379564206,-0.030414683473481,0.0688152228761624,-0.0411137215748305,-0.0429344536883361,0.0215092208297417
"kin8nm","uni_loo",37,-0.0378488968500994,-0.0237549889320436,-0.156868477777495,-0.0287857560137329,0.0728173180532581,-0.047506726205015,-0.0377917412173264,0.0171006829096493
"kin8nm","uni_loo",38,-0.0424862956768267,-0.018574673838586,-0.152282810213616,-0.0228453134809112,0.0666597584853745,-0.0444617581231998,-0.0340146724743849,0.0252602683464164
"kin8nm","uni_loo",39,-0.0407658704940341,-0.0166790163178996,-0.154741105423763,-0.0297825260814015,0.0680059479629953,-0.0365941390626757,-0.0406528017985376,0.0215503586906661
"kin8nm","uni_loo",40,-0.0401069952118785,-0.0244942700443881,-0.155280497816237,-0.0298027664165911,0.0709002339210548,-0.0418374549089953,-0.0406760703563023,0.0283701717077092
"kin8nm","uni_loo",41,-0.0404293577072879,-0.0255670469989405,-0.150436028478792,-0.0252742952642608,0.0635665462319677,-0.0375896685086165,-0.0399482738143853,0.0197143319188368
"kin8nm","uni_loo",42,-0.0414165164937931,-0.0242189129953199,-0.153053414926549,-0.0258742401282201,0.071518982181004,-0.036844337137405,-0.0389514669130464,0.0224781805140618
"kin8nm","uni_loo",43,-0.0371794592807786,-0.0227022447864781,-0.150593408762441,-0.0288871353500821,0.0719213138111876,-0.0430856333729145,-0.0362468578625207,0.0258606984492562
"kin8nm","uni_loo",44,-0.0437560065474678,-0.027386778036551,-0.154540973649536,-0.0203765895572177,0.0660407764084926,-0.0433214393867895,-0.0386591064726148,0.0230261545923317
"kin8nm","uni_loo",45,-0.0390213875696559,-0.0258280188063243,-0.152746466355123,-0.024355136811263,0.0649098255596295,-0.0460948556376695,-0.0421451587884006,0.0215879013265144
"kin8nm","uni_loo",46,-0.0443470888877752,-0.0211783039584581,-0.15030464890095,-0.0254630028897264,0.0676335503520011,-0.0309471693734988,-0.0408467876190842,0.018333669978727
