"dataset","method","split_id","frequency","attack.angle","chord.length","free.stream.velocity","suction.side.displacement.thickness"
"airfoil","uni_loo",21,-0.000878113659558194,-0.180025056938849,-17.8996812360151,0.0636060316045508,-176.592795039937
"airfoil","uni_loo",22,-0.000865097093924163,-0.167614538698089,-17.9916927243199,0.0448362742342736,-160.704736126475
"airfoil","uni_loo",23,-0.000798229717037183,-0.199418662079981,-14.1733091417974,0.0549889451018318,-186.89183270971
"airfoil","uni_loo",24,-0.000841052570157132,-0.188575190432717,-17.2105784147699,0.0330456295779477,-168.879234138217
"airfoil","uni_loo",25,-0.000844246383037176,-0.142982007877906,-17.2460752443602,0.0498701221413084,-129.994271864913
"airfoil","uni_loo",26,-0.000833988713246741,-0.162193883427328,-16.3947358294237,0.0475719944559561,-151.63365161146
"airfoil","uni_loo",27,-0.000947074925856425,-0.186595754166734,-17.0426445412674,0.0364925246810527,-170.854837833222
"airfoil","uni_loo",28,-0.000808343847931171,-0.161254286411924,-17.8045068545694,0.0505893871461237,-151.268341213687
"airfoil","uni_loo",29,-0.00082191961259702,-0.205557222837965,-19.9518098313066,0.0773992121262074,-165.062204821731
"airfoil","uni_loo",30,-0.00093658143928738,-0.168072395508257,-21.0003266404243,0.0504494901672686,-151.472668242411
"airfoil","uni_loo",31,-0.000856721138893912,-0.148563861409293,-18.5804061444852,0.0433859547386293,-143.075846237041
"airfoil","uni_loo",32,-0.000975712730694063,-0.175014013944818,-19.9514895786922,0.0451362062311017,-166.350444420212
"airfoil","uni_loo",33,-0.000824150562471891,-0.194524990703594,-17.3633841180286,0.0575087169276426,-174.331245124831
"airfoil","uni_loo",34,-0.000797595339889882,-0.225724387134294,-16.1819463371138,0.0407065733787132,-177.779947696102
"airfoil","uni_loo",35,-0.000861905230972479,-0.185330449112303,-16.1247201120822,0.055143591893942,-172.238459474054
"airfoil","uni_loo",36,-0.000804901747244332,-0.18541648749864,-15.561787546005,0.0472694433944548,-168.812602809569
"airfoil","uni_loo",37,-0.000815455831329901,-0.217303956122334,-16.6365692045648,0.0361476339258628,-168.415995755044
"airfoil","uni_loo",38,-0.000758303363992461,-0.249433068675217,-16.7023926156523,0.0609670229404535,-178.06558610989
"airfoil","uni_loo",39,-0.000841512219289023,-0.17712419638372,-17.0092344153504,0.057762636282238,-149.167909489661
"airfoil","uni_loo",40,-0.000909066582122035,-0.181576782525643,-17.2903031376094,0.056586632574945,-166.609229147044
"airfoil","uni_loo",41,-0.000814123137630603,-0.181603319964743,-17.6185615189555,0.0528452565779812,-163.338223601438
"airfoil","uni_loo",42,-0.000819748287164902,-0.219601640983168,-14.1000310362684,0.0537858652895251,-170.684921809786
"airfoil","uni_loo",43,-0.000971164068578573,-0.182369329349426,-18.599986660215,0.0536627239299416,-177.234057418608
"airfoil","uni_loo",44,-0.000856379277878611,-0.13246631615539,-17.7454162835871,0.0660406034871265,-138.680747684573
"airfoil","uni_loo",45,-0.0007291629940149,-0.203684898923896,-16.9439861184724,0.0583618716950298,-164.348812314063
"airfoil","uni_loo",46,-0.000838172701684117,-0.20808221654295,-15.2816737811752,0.0572969782380225,-165.97380718491
"airfoil","uni_loo",47,-0.000897688858571912,-0.242503912676493,-12.7205733986798,0.0777946071227478,-169.682147973366
"airfoil","uni_loo",48,-0.000861458762534345,-0.158881150372959,-19.5184788836454,0.0599818481603992,-168.172556017924
"airfoil","uni_loo",49,-0.000801301809795862,-0.203343020748416,-17.4840102554967,0.0650891650441827,-158.509554548922
"airfoil","uni_loo",50,-0.000888639871220691,-0.201958242982834,-16.9607286931717,0.0674218731661942,-176.315923715846
