feature,importance_rf
FCFP6_1024_128_1.0,0.0036978782443603826
FCFP6_1024_858_1.0,0.0036597808810307306
FCFP6_1024_362_1.0,0.0036076217625204774
FCFP6_1024_489_1.0,0.0035900668547236363
FCFP6_1024_428_1.0,0.003568899427996546
FCFP6_1024_540_1.0,0.0035344757823511635
FCFP6_1024_941_1.0,0.0035258426467101333
FCFP6_1024_407_1.0,0.0034971953749698974
FCFP6_1024_395_1.0,0.003474474385435017
FCFP6_1024_942_1.0,0.003336096486156904
FCFP6_1024_53_1.0,0.003303601802577472
FCFP6_1024_985_1.0,0.0033025293252913956
FCFP6_1024_163_1.0,0.003297312868279435
FCFP6_1024_890_1.0,0.0032375834332776647
FCFP6_1024_287_1.0,0.003230086498168066
FCFP6_1024_668_1.0,0.003206820876351977
FCFP6_1024_471_1.0,0.003162759348094487
FCFP6_1024_412_1.0,0.003143644705312008
FCFP6_1024_498_1.0,0.003097819050503193
FCFP6_1024_330_1.0,0.0030947519188569425
FCFP6_1024_814_1.0,0.003075310395753388
FCFP6_1024_526_1.0,0.0030717171892734687
FCFP6_1024_544_1.0,0.003021935073236129
FCFP6_1024_193_1.0,0.0030022134028899463
FCFP6_1024_29_1.0,0.0029915687481487396
FCFP6_1024_694_1.0,0.002920842796230555
FCFP6_1024_78_1.0,0.002852862945202534
FCFP6_1024_607_1.0,0.002829337820174131
FCFP6_1024_263_1.0,0.002827427258638842
FCFP6_1024_875_1.0,0.002799653067208302
FCFP6_1024_588_1.0,0.002797712068483559
FCFP6_1024_648_1.0,0.002774488869797062
FCFP6_1024_970_1.0,0.002745143095226825
FCFP6_1024_447_1.0,0.0027200696968416624
FCFP6_1024_486_1.0,0.002699934751230285
FCFP6_1024_170_1.0,0.0026874089236816182
FCFP6_1024_280_1.0,0.0026693306006127875
FCFP6_1024_513_1.0,0.002646948149029585
FCFP6_1024_824_1.0,0.0025999648331978906
FCFP6_1024_724_1.0,0.002595429424948922
FCFP6_1024_803_1.0,0.0025449091262486545
FCFP6_1024_463_1.0,0.0025102773696421493
FCFP6_1024_452_1.0,0.002487536162961902
FCFP6_1024_679_1.0,0.002484802725942018
FCFP6_1024_818_1.0,0.002483068285726346
FCFP6_1024_356_1.0,0.002419214478835957
FCFP6_1024_400_1.0,0.0024030622472865286
FCFP6_1024_353_1.0,0.002396284356499329
FCFP6_1024_467_1.0,0.0023090621708179307
FCFP6_1024_259_1.0,0.0022842634928961925
FCFP6_1024_194_1.0,0.0022613459346822293
FCFP6_1024_251_1.0,0.002234656942606422
FCFP6_1024_887_1.0,0.002222471853017101
FCFP6_1024_375_1.0,0.0022016546440458856
FCFP6_1024_365_1.0,0.002178041180146534
FCFP6_1024_180_1.0,0.0021063023343281828
FCFP6_1024_7_1.0,0.0021060290395371003
FCFP6_1024_363_1.0,0.0021044014467066943
FCFP6_1024_460_1.0,0.0020759024443572243
FCFP6_1024_536_1.0,0.0020747453612159177
FCFP6_1024_626_1.0,0.0020348978105948165
FCFP6_1024_318_1.0,0.001998934013719296
FCFP6_1024_932_1.0,0.0019441117829563472
FCFP6_1024_52_1.0,0.0019163856641162488
FCFP6_1024_56_1.0,0.0019132813926283651
FCFP6_1024_684_1.0,0.0018869507366054202
FCFP6_1024_213_1.0,0.0018770455405689318
FCFP6_1024_436_1.0,0.001873844986614034
FCFP6_1024_214_1.0,0.0018283066173060097
FCFP6_1024_891_1.0,0.0018113836327737728
FCFP6_1024_234_1.0,0.0018062875224752644
FCFP6_1024_537_1.0,0.0018009347123006017
FCFP6_1024_258_1.0,0.0017987150234007423
FCFP6_1024_19_1.0,0.0017937944979018047
FCFP6_1024_825_1.0,0.00179216083685482
FCFP6_1024_966_1.0,0.0017728889456575636
FCFP6_1024_820_1.0,0.0017660193846916789
FCFP6_1024_4_1.0,0.0017629128815397851
FCFP6_1024_1002_1.0,0.0017522137399995437
FCFP6_1024_900_1.0,0.0017479483820921897
FCFP6_1024_993_1.0,0.001743634178075168
FCFP6_1024_282_1.0,0.0017364754072002324
FCFP6_1024_454_1.0,0.001730316051646191
FCFP6_1024_874_1.0,0.0017257410038688835
FCFP6_1024_902_1.0,0.0017188156524707936
FCFP6_1024_1019_1.0,0.0016895815126112357
FCFP6_1024_64_1.0,0.001674148385902847
FCFP6_1024_739_1.0,0.0016693654196930521
FCFP6_1024_8_1.0,0.0016638485700351524
FCFP6_1024_573_1.0,0.001650800648721957
FCFP6_1024_625_1.0,0.0016499231068608812
FCFP6_1024_871_1.0,0.001640057076133385
FCFP6_1024_136_1.0,0.0016400480651728943
FCFP6_1024_735_1.0,0.0016392035059604642
FCFP6_1024_631_1.0,0.0016348539794903308
FCFP6_1024_852_1.0,0.0016287524033397243
FCFP6_1024_177_1.0,0.001625895881174635
FCFP6_1024_816_1.0,0.0016185011252584105
FCFP6_1024_586_1.0,0.0016121210443719885
FCFP6_1024_810_1.0,0.001609485494060379
FCFP6_1024_705_1.0,0.0016037040275650866
FCFP6_1024_240_1.0,0.0015995669343246205
FCFP6_1024_798_1.0,0.001599020669588297
FCFP6_1024_984_1.0,0.0015986141799873399
FCFP6_1024_427_1.0,0.0015970344937141752
