"dataset","bootstrap_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support","oob_sample_count"
"data_airfoil",23,25.1465315275847,5,25.0354529574099,5,25.1469514995055,5,40.6485585352921,1,366
"data_airfoil",24,25.1734603392917,5,25.1608160378511,5,25.1733098060223,5,40.5724650093613,1,371
"data_airfoil",25,24.8711189068171,5,24.8859974082963,5,24.8731861723334,5,40.4616523175095,1,384
"data_airfoil",26,24.8774826753501,5,24.9007125115224,5,24.8775143342629,5,40.4982711415481,1,346
"data_airfoil",27,24.8972044530279,5,24.872840676825,5,24.897590584754,5,40.5812861068009,1,377
"data_airfoil",28,25.0771422270179,5,25.0303415197131,5,25.0775231969316,5,40.4984657438381,1,385
"data_airfoil",29,24.8978772580428,5,24.8978978311008,5,24.8991948284055,5,40.6389364345248,1,357
"data_airfoil",30,25.1039498150691,5,25.1615722642746,5,25.1054782689984,5,40.7007418824617,1,359
"data_airfoil",31,25.3186914095783,5,25.3006444441456,5,25.319532428478,5,41.1127804108975,1,378
"data_airfoil",32,25.1396159011505,5,25.1498314612704,5,25.1417998066504,5,40.5605357751807,1,375
"data_airfoil",33,25.0738341951577,5,24.9763022904111,5,25.0742021360342,5,40.6957769238291,1,352
"data_airfoil",34,24.8602177667439,5,24.8634039372467,5,24.8597837835644,5,40.4788564208802,1,370
"data_airfoil",35,25.1363000940082,5,25.1490724770811,5,25.1369814264615,5,40.5306923246086,1,366
"data_airfoil",36,24.957395711514,5,24.9510740587538,5,24.9577549932903,5,40.5239076064796,1,364
"data_airfoil",37,25.0526633402173,5,25.0239000144026,5,25.0532136563992,5,40.5164052483013,1,375
"data_airfoil",38,24.9051721987826,5,24.9099805394129,5,24.9063040778499,5,40.7770315645445,1,370
"data_airfoil",39,25.0703070160177,5,25.020520943508,5,25.0706361035177,5,40.4562419132461,1,365
"data_airfoil",40,24.9027571514885,5,24.9024354758961,5,24.9029761930484,5,40.7005614034825,1,374
"data_airfoil",41,25.156372933475,5,25.1728740619021,5,25.1577867489884,5,40.6062044276038,1,403
"data_airfoil",42,24.9874062786713,5,24.9242170111988,5,24.986598436773,5,40.5452112940468,1,382
"data_airfoil",43,24.8891928543671,5,24.9106302538837,5,24.8899865063815,5,40.6135845825752,1,358
"data_airfoil",44,25.0458288172974,5,25.0482865349815,5,25.0468319932863,5,40.4621249990241,1,386
"data_airfoil",45,24.8994196099384,5,24.9166395270512,5,24.8997859350058,5,40.5184368376969,1,356
"data_airfoil",46,24.9145345704622,5,24.8893280483759,5,24.915466837699,5,40.5436630847286,1,384
"data_airfoil",47,24.9059836342347,5,24.9096312652041,5,24.9068943258971,5,40.6798760008792,1,364
"data_airfoil",48,25.0216930529824,5,25.0512938560687,5,25.0213685205543,5,40.530883229284,1,365
"data_airfoil",49,24.8806117800894,5,24.8947862723349,5,24.8813939300325,5,40.694997852022,1,390
"data_airfoil",50,25.0802146414886,5,25.104752059529,5,25.0810644116705,5,40.884359214008,1,367
"data_airfoil",51,25.0442459757908,5,25.0103898022279,5,25.0447186100777,5,40.4608783284786,1,354
"data_airfoil",52,24.8490226567437,5,24.8741787321046,5,24.8498683240707,5,40.5664608367966,1,374
"data_airfoil",53,24.9309401504219,5,24.8819078975758,5,24.9314847874528,5,40.626543268785,1,379
"data_airfoil",54,25.2227686031111,5,25.1270072807494,5,25.2233701020565,5,40.6997593473726,1,362
"data_airfoil",55,25.0942053486267,5,25.0403894313404,5,25.0943056072114,5,40.5062508747518,1,357
"data_airfoil",56,25.1986039968212,5,25.2205136043051,5,25.201061819917,5,40.8929220181641,1,364
"data_airfoil",57,25.1814536564586,5,25.2039623053631,5,25.1824890725665,5,40.4838390376911,1,375
"data_airfoil",58,24.9815678055573,5,24.9684815024668,5,24.9816100525489,5,40.5279172026428,1,374
"data_airfoil",59,25.0732267413143,5,25.1012921121915,5,25.0741457223262,5,40.7400734201946,1,383
"data_airfoil",60,25.2762991696161,5,25.2869275518144,5,25.2769934324562,5,40.9638265347717,1,374
"data_airfoil",61,24.970143522064,5,24.9991432202746,5,24.971665072341,5,40.5423790209972,1,366
"data_airfoil",62,25.2672359768583,5,24.9614690997087,5,25.0037101080018,5,40.4866206352835,1,365
"data_airfoil",63,25.3781246392777,5,25.297110161898,5,25.3792299800141,5,40.5006390194164,1,374
"data_airfoil",64,24.8847287580881,5,24.9158054594609,5,24.8855116058041,5,40.4572471119366,1,372
