"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support"
"data_airfoil",28,23.3224990752737,5,23.3033843893038,5,23.3208854436571,5,42.4052678241635,1
"data_airfoil",29,22.8910663972383,5,22.8427749798044,5,22.8910817788165,5,40.3121007562196,1
"data_airfoil",30,23.6982804905691,5,23.651135883171,5,23.696903131826,5,41.3532820738381,1
"data_airfoil",31,22.2559277142414,5,22.2501235870482,5,22.2571735912355,5,40.7707102622002,1
"data_airfoil",32,23.8473219891058,5,23.7188678523507,5,23.846627293234,5,40.4264784654111,1
"data_airfoil",33,24.8705890703809,5,24.8796201930244,5,24.8699746371312,5,42.8393409067585,1
"data_airfoil",34,21.3502657863974,5,21.3209737248176,5,21.3500207019164,5,39.0098428769449,1
"data_airfoil",35,26.1626153580491,5,26.1129103711115,5,26.1609659332579,5,42.484205166216,1
"data_airfoil",36,21.207466302401,5,21.158363683792,5,21.2066770299351,5,37.9145958802712,1
"data_airfoil",37,25.8575580100538,5,25.8869554340339,5,25.8576211830285,5,40.8067477076155,1
"data_airfoil",38,22.3157300777548,5,22.3298243258623,5,22.3171099470125,5,38.2731596009129,1
"data_airfoil",39,22.7121367464931,5,22.7817227064852,5,22.7131778442724,5,42.1507674507659,1
"data_airfoil",40,25.0741012775675,5,25.0853192945678,5,25.0741870846533,5,42.0122817846708,1
"data_airfoil",41,20.8450349292854,5,20.8529598891587,5,20.8413814780013,5,36.9287435531014,1
"data_airfoil",42,22.9403525909254,5,22.877775994657,5,22.9403191191016,5,41.0465220052866,1
"data_airfoil",43,23.7558045649662,5,23.7229632253317,5,23.7574026246988,5,40.6461391060398,1
"data_airfoil",44,22.1411271393668,5,22.0886554557128,5,22.1391012360699,5,39.3093709338125,1
"data_airfoil",45,20.5555584969393,5,20.5703532194321,5,20.5554516671596,5,38.9066378440261,1
"data_airfoil",46,24.3401828586482,5,24.3430836840891,5,24.3396688886872,5,41.0212069437864,1
"data_airfoil",47,23.5554059682928,5,23.571545361474,5,23.5553295914181,5,39.4619649687716,1
"data_airfoil",48,22.4139082411741,5,22.3424517517876,5,22.4142622786555,5,39.8258574752796,1
"data_airfoil",49,22.804035885834,5,22.8040045822394,5,22.804866513869,5,41.5036214116673,1
"data_airfoil",50,22.1030693773899,5,22.0999902776152,5,22.1040588076927,5,37.6712258853186,1
"data_airfoil",51,24.4515847661777,5,24.4907818153586,5,24.4531477891572,5,40.4055036789959,1
"data_airfoil",52,22.2868760900784,5,22.2682997659791,5,22.2870142505559,5,41.7838279024839,1
"data_airfoil",53,24.2855833976101,5,24.2099331933967,5,24.2858774972626,5,40.8737566159121,1
"data_airfoil",54,22.682949537949,5,22.689045246411,5,22.683286100734,5,41.4878637112159,1
"data_airfoil",55,21.3327984460316,5,21.3848849569791,5,21.3326599581124,5,39.0637885684971,1
"data_airfoil",56,23.4760933000961,5,23.4865592983436,5,23.475177007595,5,39.908722696359,1
"data_airfoil",57,22.2023464944891,5,22.190088844791,5,22.2016371921867,5,41.7480405282246,1
"data_airfoil",58,22.2096103509327,5,22.2723860391364,5,22.2097894916557,5,39.631255343435,1
"data_airfoil",59,21.3996577576451,5,21.2796004916666,5,21.3984898323928,5,37.1100069564539,1
"data_airfoil",60,22.2310350620581,5,22.1081673283801,5,22.2309876884019,5,43.5293848522081,1
"data_airfoil",61,25.1879854648579,5,25.111457382439,5,25.1870382746162,5,44.5593463817741,1
"data_airfoil",62,22.7227267320341,5,22.7611156532753,5,22.7231028615481,5,40.9693311275625,1
"data_airfoil",63,19.8609583367742,5,19.9050787243624,5,19.8623246614601,5,36.0263460766368,1
"data_airfoil",64,23.8495915945679,5,23.788273729709,5,23.8503323282281,5,40.724933411905,1
"data_airfoil",65,22.985386848036,5,22.8080637988114,5,22.9864330254499,5,43.2708801525116,1
"data_airfoil",66,21.6324670908552,5,21.58414794557,5,21.6328929627687,5,39.7035279736016,1
"data_airfoil",67,22.7168753134691,5,22.731740919639,5,22.7142299067129,5,38.282254382344,1
"data_airfoil",68,25.4918077491019,5,25.4583702477512,5,25.490155332751,5,41.2442740009976,1
"data_airfoil",69,24.6480125238503,5,24.6868205770678,5,24.6474926953031,5,39.6418049615178,1
"data_airfoil",70,22.8136077928107,5,22.8925028241924,5,22.8136334216156,5,37.827930160133,1
"data_airfoil",71,22.5521154488813,5,22.558148685873,5,22.5511139340396,5,38.2010084904014,1
"data_airfoil",72,21.4677505241603,5,21.4565211090296,5,21.469511449173,5,38.6799064398336,1
"data_airfoil",73,21.2992670145849,5,21.2651493274522,5,21.2992699117755,5,37.3453579450266,1
"data_airfoil",74,22.5208171837211,5,22.4840839271469,5,22.5189868322245,5,38.7395937921256,1
