"dataset","bootstrap_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support","unireg_mse","unireg_support","least_squares_mse","least_squares_support","oob_sample_count"
"ca_housing",86,5378027440.14784,5,5377369655.19552,5,4886916353.57566,8,4887699195.50583,8,5378354840.459,5,4886655568.64746,8,3728
"ca_housing",87,4907247988.77274,7,4904789282.14663,7,4877515172.93517,8,4869662775.16944,8,4894364498.1742,7,4871807497.46155,8,3816
"ca_housing",88,4907702710.37862,7,4902629821.07239,7,4902894319.88277,8,4869214808.03966,8,4897511734.20805,7,4868199848.60503,8,3797
"ca_housing",89,4956314241.48893,7,4916668014.46017,7,4878114302.89783,8,4875960942.69332,8,4921138265.12965,7,4878396166.66481,8,3761
"ca_housing",90,4893704965.18534,7,4882906536.93702,7,4864505787.17144,8,4861761908.93973,8,4890827422.36196,7,4863086467.36564,8,3796
"ca_housing",91,4982669144.30357,7,4977540844.21161,7,4931452854.73216,8,4932223694.58465,8,4967779810.68787,7,4930826328.14113,8,3808
"ca_housing",92,4999753635.8172,7,5002590581.66731,7,4999741860.41027,7,4931827277.06664,8,4962368129.62471,7,4927186528.83036,8,3771
"ca_housing",93,4905303056.31476,7,4895550869.03286,7,4905267094.36725,7,4861937492.09609,8,4889553201.42153,7,4858660932.79267,8,3808
"ca_housing",94,4980531055.84051,7,4943076388.24729,7,4978165650.81249,8,4899874135.56441,8,4943327676.28301,7,4895369819.87299,8,3808
"ca_housing",95,4951050951.93383,7,4939132674.58409,7,4913378695.28043,8,4903245536.66532,8,4933204482.30481,7,4901640701.7782,8,3804
"ca_housing",96,5370829412.80783,5,5370795404.13546,5,4880334969.04275,8,4883190091.93113,8,5371768084.12165,5,4880603864.31627,8,3810
"ca_housing",97,4934584239.58838,7,4881260361.66244,7,4849233535.71291,8,4851181340.71063,8,4899455254.8341,7,4850883733.56367,8,3821
"ca_housing",98,4953055370.76241,7,4939336618.11774,7,4917494583.97853,8,4905230495.18578,8,4933819895.94087,7,4903443445.83509,8,3807
"ca_housing",99,4978657311.06535,6,4975584364.57747,6,4941579325.01538,7,4929182220.85863,7,4959789351.77343,7,4928120116.09591,8,3789
"ca_housing",100,4941892578.59302,7,4945615125.37824,7,4903759152.78776,8,4903688111.12768,8,4926232255.51521,7,4902034656.00095,8,3800
"computer",1,96.3615796858178,13,96.5877021946819,12,93.4873751813453,14,95.054188711192,20,96.2415360804985,14,95.0275301327431,21,1493
"computer",2,95.4303525046785,12,95.2466923975614,12,91.7996365103462,19,91.7948908075595,20,95.4258225305772,12,92.007176682839,21,1497
"computer",3,96.9700555084804,10,96.66409643642,10,93.409979942123,12,91.8309027173201,20,96.890736368574,10,91.9336297102351,21,1537
"computer",4,96.7907515292865,8,97.2197653867874,8,94.2931057835003,10,93.8840200269604,19,96.7621245206502,9,94.0981183021633,21,1492
"computer",5,95.4271698613956,10,95.8366573805295,10,92.7804696243718,12,93.545235644329,21,95.3490400715042,10,93.6901340568635,21,1489
"computer",6,97.447522924206,9,98.1017917486292,9,94.7758577514851,11,94.246420916737,20,97.4452051051651,9,94.2956411165605,21,1487
"computer",7,96.5836799476381,9,96.5110267558689,9,93.3365876247717,10,92.0328592296822,20,96.5602232488691,9,92.2137934749561,21,1495
"computer",8,95.7798310817755,11,95.8850737648957,11,93.1192145047581,12,92.3359833031692,19,95.713699089509,11,92.4268692799091,21,1484
