"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_true_nosign_mse","unilasso_loo_true_nosign_support","unilasso_loo_true_nosign_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"elevator",11,2.08760914600972e-05,11,0,8.57922875367082e-06,18,6,2.08753686325326e-05,11,0,1.71285943432293e-05,15,3,8.59203648636629e-06,18,6,2.08745778817255e-05,11,0,8.57996197604856e-06,17,7
"elevator",12,1.90742975595088e-05,10,0,8.07130980753996e-06,16,5,1.90679337825476e-05,11,0,1.55120746795147e-05,14,3,8.06807132025758e-06,15,4,1.9073830636418e-05,11,0,8.0764223813719e-06,16,7
"elevator",13,1.95579268265223e-05,9,0,8.46437495338712e-06,16,6,1.95587194967723e-05,9,0,1.6004900660776e-05,13,3,8.44454604097433e-06,16,5,1.95591487292017e-05,10,0,8.44784159923986e-06,16,6
"elevator",14,1.98152024499159e-05,8,0,8.46829263576609e-06,14,5,1.9813539448674e-05,8,0,1.59018353643521e-05,12,3,8.45513566871108e-06,13,5,1.98160101353065e-05,8,0,8.47451577292068e-06,16,8
"elevator",15,2.04286803115857e-05,10,0,8.87388634545207e-06,15,4,2.04309866547135e-05,12,0,1.63995513678728e-05,14,3,8.86594703434727e-06,16,4,2.04302657780344e-05,10,0,8.86572429155718e-06,15,4
"elevator",16,1.98490317719482e-05,10,0,8.43268093116351e-06,16,4,1.98352680579111e-05,10,0,1.63142561537959e-05,14,3,8.42674150308262e-06,16,6,1.98357473042853e-05,10,0,8.43009313021229e-06,16,6
"elevator",17,1.97833103662474e-05,10,0,8.16727325826327e-06,16,4,1.97932117233613e-05,11,0,1.58255460227576e-05,14,3,8.18086273855233e-06,16,4,1.97808426842073e-05,11,0,8.17532362894594e-06,16,6
"elevator",18,2.00893020834978e-05,8,0,8.48220429776739e-06,11,3,2.00855875757639e-05,8,0,1.63472722008477e-05,12,3,8.46053496851356e-06,14,5,2.00894204781797e-05,8,0,8.45961695320849e-06,15,6
"elevator",19,1.96770429945918e-05,11,0,8.46542778518208e-06,17,6,1.96727685913285e-05,11,0,1.57718671519367e-05,15,3,8.46048493635607e-06,16,5,1.96716208966823e-05,11,0,8.45514528582361e-06,16,7
"elevator",20,2.0689692334428e-05,9,0,8.95870870465669e-06,17,5,2.06908110416052e-05,10,0,1.68712475531781e-05,13,4,8.94658166117296e-06,17,4,2.06908144567629e-05,9,0,8.9412506085834e-06,17,5
"elevator",21,1.96325488986867e-05,9,0,8.42175037830972e-06,15,4,1.96307137143786e-05,9,0,1.57737416192527e-05,13,3,8.41419312237785e-06,16,6,1.96335587777666e-05,9,0,8.42281416990113e-06,17,8
"elevator",22,2.03440424315661e-05,10,0,8.75571728683683e-06,14,4,2.03454132746987e-05,10,0,1.68624858601348e-05,14,3,8.75201631920047e-06,13,4,2.03437392706716e-05,9,0,8.76078716273262e-06,14,5
"elevator",23,2.04720875158188e-05,10,0,8.62629475153106e-06,16,5,2.0476222808749e-05,11,0,1.68396656178787e-05,14,3,8.63926327204152e-06,17,5,2.04723784092958e-05,10,0,8.62661604834946e-06,15,5
"elevator",24,1.99925276025446e-05,10,0,8.40716821653721e-06,16,5,1.99866468233906e-05,11,0,1.63104073517036e-05,14,3,8.41298812532794e-06,17,5,1.99900531741017e-05,10,0,8.40688903662103e-06,17,6
"elevator",25,1.98518753057925e-05,11,0,8.46080509174012e-06,16,5,1.9858966325984e-05,11,0,1.60104251274597e-05,15,3,8.47025027163754e-06,15,4,1.98526204148449e-05,11,0,8.4690810908046e-06,16,7
"elevator",26,1.99231872650884e-05,8,0,8.31540346400552e-06,12,3,1.99224553838314e-05,9,0,1.63782685169012e-05,12,4,8.30159050000001e-06,15,4,1.9922942759147e-05,8,0,8.29721709834899e-06,15,4
"elevator",27,2.01542303823497e-05,10,0,8.46313034195487e-06,16,4,2.01478933768709e-05,10,0,1.60478437617263e-05,14,3,8.48101876309121e-06,15,4,2.01534760675048e-05,10,0,8.46518277414369e-06,14,4
"elevator",28,2.0158580214424e-05,9,0,8.64415918264198e-06,16,4,2.01499308451006e-05,9,0,1.68067532279438e-05,13,3,8.64193032947965e-06,16,5,2.01390249225606e-05,9,0,8.63893322174763e-06,16,6
"elevator",29,2.1036012115192e-05,10,0,8.83403610198283e-06,16,5,2.10333561273037e-05,9,0,1.7608725270152e-05,14,3,8.85003206112697e-06,14,5,2.10300015364644e-05,10,0,8.83764350831376e-06,14,5
"elevator",30,1.94670829878258e-05,10,0,8.49370620637175e-06,16,5,1.94666552801069e-05,11,0,1.61849971983792e-05,14,3,8.47154031817123e-06,15,4,1.94582535311569e-05,11,0,8.48238262365383e-06,16,6
"elevator",31,1.94380666051144e-05,10,0,8.07255898691134e-06,16,5,1.94351924261593e-05,11,0,1.57967446891989e-05,14,3,8.07619852303029e-06,16,5,1.94430175306458e-05,11,0,8.06738738372081e-06,16,6
"elevator",32,1.98992269497733e-05,8,0,8.78851320763193e-06,16,4,1.988901600382e-05,9,0,1.62708768023525e-05,12,3,8.78091020859664e-06,14,4,1.98871825375546e-05,10,0,8.79403182407243e-06,16,7
"elevator",33,2.02907613110917e-05,10,0,8.56268570134643e-06,17,6,2.0293361638393e-05,10,0,1.65656360364809e-05,14,3,8.57188933564031e-06,17,6,2.02911151154793e-05,10,0,8.55886780803184e-06,17,6
"elevator",34,1.92043270000177e-05,10,0,8.12465936184414e-06,16,5,1.92203947742586e-05,10,0,1.55296803197556e-05,14,3,8.10732832777959e-06,17,6,1.92111618257216e-05,10,0,8.11966820339972e-06,16,6
"elevator",35,2.02780153974591e-05,11,0,8.76844425466728e-06,17,5,2.02805057283824e-05,11,0,1.67947437539546e-05,15,4,8.74281195443087e-06,18,6,2.02789116719132e-05,11,0,8.75318679249824e-06,17,6
"elevator",36,1.90633250762034e-05,9,0,8.10654016264327e-06,15,4,1.90611588217916e-05,9,0,1.52689861516837e-05,13,3,8.10574731006433e-06,14,4,1.90637832027306e-05,9,0,8.10940082290109e-06,15,6
