"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"ca_housing",17,4842120198.89308,7,0,4852370350.04621,7,0,4829691146.42218,8,1,4823115986.06738,8,1,4850274764.39082,7,0,4826073834.76722,8,1
"ca_housing",18,5033940417.05774,7,0,5023660805.44497,7,0,5004595643.46623,8,1,4990025798.80488,8,1,5015046601.71741,7,0,4988163458.43667,8,1
"ca_housing",19,4874848734.88911,7,0,4884528714.17996,7,0,4877425088.45692,8,1,4874893112.69588,8,1,4884075668.86272,7,0,4876429616.21462,8,1
"ca_housing",20,4952078491.20337,7,0,4944072773.44506,7,0,4950218118.64415,8,1,4905013709.97234,8,1,4931863101.83492,7,0,4898503297.92448,8,1
"ca_housing",21,4822632065.63789,7,0,4810270216.60518,7,0,4792964293.43937,8,1,4790938163.54199,8,1,4809328392.69605,7,0,4789331428.4396,8,1
"ca_housing",22,5060304474.38957,7,0,5066002328.65232,7,0,5045285056.80974,8,1,5042482023.25832,8,1,5067273203.65829,7,0,5046226543.05626,8,1
"ca_housing",23,4918541708.89257,7,0,4909021958.48152,7,0,4890798111.20991,8,1,4878562136.39899,8,1,4903164365.97747,7,0,4876642664.76208,8,1
"ca_housing",24,4953319753.55362,7,0,4949692698.64788,7,0,4948860108.42285,8,1,4914090875.10652,8,1,4941938533.9299,7,0,4911784837.28146,8,1
"ca_housing",25,4796670139.11432,7,0,4797096099.53316,7,0,4783282118.70769,8,1,4782238890.75786,8,1,4797128913.70079,7,0,4784236024.73226,8,1
"ca_housing",26,4921719887.78929,7,0,4930596283.2251,7,0,4911345971.26192,8,1,4907924378.22692,8,1,4929735317.13075,7,0,4910793090.05556,8,1
"ca_housing",27,4640805386.31143,7,0,4636335069.72246,7,0,4640805847.26752,7,0,4598776594.69526,8,1,4625385775.52145,7,0,4595221990.0909,8,1
"ca_housing",28,4875497662.20227,7,0,4865325735.56435,7,0,4855517976.8519,8,1,4841134056.02779,8,1,4858015397.96931,7,0,4839401957.65677,8,1
"ca_housing",29,4825719623.84929,7,0,4815143883.44674,7,0,4823638845.49389,8,1,4777847965.15273,8,1,4810239828.27493,7,0,4774519498.39509,8,1
"ca_housing",30,4885017427.99408,7,0,4876888141.95108,7,0,4864506425.80308,8,1,4855357814.33474,8,1,4873805330.82066,7,0,4855619364.66466,8,1
"ca_housing",31,4857982649.08598,7,0,4859701830.83601,7,0,4837822069.09506,8,1,4830105201.3299,8,1,4860150234.33711,7,0,4829055651.0568,8,1
"ca_housing",32,4854259477.60114,7,0,4861924225.44719,7,0,4844248255.77223,8,1,4833848213.30363,8,1,4860472120.98102,7,0,4834971949.63619,8,1
