"dataset","method","split_id","displacement","cylinders","horsepower","weight","acceleration","model_year","origin"
"auto_mpg","uni_loo",29,-0.0641077695783088,-3.49600903091352,-0.169858335751738,-0.00768305119503092,1.27954516833359,1.13399609351401,5.31844376188386
"auto_mpg","uni_loo",30,-0.0599124955617585,-3.66127192902556,-0.155535613644188,-0.00729320662558557,1.09682089399346,1.20345409184511,5.88511542160949
"auto_mpg","uni_loo",31,-0.0604983277359484,-3.5874145246695,-0.164254705554801,-0.00793703856440731,1.48402877628904,1.19584397508612,5.57150164544284
"auto_mpg","uni_loo",32,-0.0607317890365409,-3.59852354912683,-0.153865379993054,-0.00766156934949794,1.2108638206872,1.1922438181949,5.68381382424452
"auto_mpg","uni_loo",33,-0.0561130778029729,-3.299212135872,-0.152535289975579,-0.00730997584603764,1.02730567021078,1.08253506658015,5.14544397208631
"auto_mpg","uni_loo",34,-0.0624324657468704,-3.69766899131888,-0.157942382627709,-0.00796267120537648,1.31946512707386,1.33266461700964,6.0135549672999
"auto_mpg","uni_loo",35,-0.0635304831481438,-3.85212067748765,-0.157377991134425,-0.00794988665091549,1.19766090049723,1.38254001428148,6.28032092530749
"auto_mpg","uni_loo",36,-0.0633804577860595,-3.83308986393841,-0.162636938093983,-0.0077332054715011,1.41605495423913,1.27873158124392,5.85981352718079
"auto_mpg","uni_loo",37,-0.0631347671291987,-3.74486922056153,-0.164015002648996,-0.00812766601820459,1.23780700959879,1.23210932496252,6.21533858618895
"auto_mpg","uni_loo",38,-0.0616242696492095,-3.68132955536181,-0.15487778072319,-0.00784210089866047,1.136046741281,1.31045302095897,5.92916308845343
"auto_mpg","uni_loo",39,-0.0596036105688526,-3.58808741545936,-0.156487953182253,-0.00784875285167668,1.27242346470004,1.25993530301301,5.65624761030817
"auto_mpg","uni_loo",40,-0.062322321276822,-3.6827043900897,-0.161503862743875,-0.0079845533510331,0.800102696170642,1.2463766835578,5.37138337954077
"auto_mpg","uni_loo",41,-0.0589341615425551,-3.6003199160432,-0.154199550839613,-0.00764794269257784,1.37618190794416,1.2474525208855,6.07877372702621
"auto_mpg","uni_loo",42,-0.0611791687356166,-3.50964510441156,-0.166013250439945,-0.00777160067124879,1.15805887137495,1.1727214573962,5.36561387563432
"auto_mpg","uni_loo",43,-0.0599449351196985,-3.49382600642997,-0.162287315681763,-0.00763371603840968,1.25104798313061,1.26799634038307,5.22259102386577
"auto_mpg","uni_loo",44,-0.0587460098518822,-3.40345359579175,-0.148563308348071,-0.0074180300091403,0.990160670212128,1.15342302652742,5.33683950804737
"auto_mpg","uni_loo",45,-0.0635714995527053,-3.7432364483689,-0.162340881376795,-0.00795349143997224,1.22216986271253,1.3636502622909,6.07499159663866
"auto_mpg","uni_loo",46,-0.0630302789182153,-3.74781871238373,-0.157884660615546,-0.00803164707329957,1.14150070850904,1.3027743126494,5.38449143656064
"auto_mpg","uni_loo",47,-0.0597632276005703,-3.67245671999056,-0.147589713902671,-0.00745684402146187,1.28533390480848,1.28183427787347,6.35681109844166
"auto_mpg","uni_loo",48,-0.0571002758308468,-3.44852699052095,-0.152540404089841,-0.00741717147767743,1.31775483527736,1.31975228657157,5.6780017633857
"auto_mpg","uni_loo",49,-0.062794054714232,-3.66800697395663,-0.165294320611057,-0.00803846835541472,1.05293028443645,1.22599841049077,5.53551346199667
"auto_mpg","uni_loo",50,-0.0596899673045844,-3.62817964480875,-0.151992260087016,-0.00763457161610158,1.09015503016435,1.20699181107278,5.48659538747018
