"dataset","method","split_id","DateTime","Temperature","Humidity","Wind.Speed","general.diffuse.flows","diffuse.flows"
"power_consumption_of_tetouan_city","uni_loo",44,0.113730245614606,541.763038507573,-133.319438905499,520.696661725893,5.27676231092078,4.72251419103529
"power_consumption_of_tetouan_city","uni_loo",45,0.105496500155187,531.139010185352,-129.232787774732,483.443167790462,5.00093092060068,4.56384394185394
"power_consumption_of_tetouan_city","uni_loo",46,0.108900124454234,539.920481210379,-131.723799860341,513.081977487555,5.09163761929219,4.80534577642088
"power_consumption_of_tetouan_city","uni_loo",47,0.111518182966821,537.418242358992,-132.566044135572,525.929016017899,4.87466223844268,4.35078093732489
"power_consumption_of_tetouan_city","uni_loo",48,0.1140428870388,542.486793622405,-131.555362017059,502.96957635303,5.13469845383186,4.62872778051806
"power_consumption_of_tetouan_city","uni_loo",49,0.111694889048778,544.994917993779,-135.442382746436,513.8656228779,4.99680659993671,4.53154470386117
"power_consumption_of_tetouan_city","uni_loo",50,0.109888577691242,541.747471570235,-132.537718436163,506.051081925935,5.15339273874138,4.59632099173184
"power_consumption_of_tetouan_city","uni_loo",51,0.108526950808203,537.009897927908,-128.215912793439,510.985216631364,5.02916702613444,4.30504200837866
"power_consumption_of_tetouan_city","uni_loo",52,0.109385052659101,538.221698061866,-130.687417051903,495.18121210531,5.04231636742333,4.44305555679308
"power_consumption_of_tetouan_city","uni_loo",53,0.110404679036174,548.215551344911,-132.323118382707,511.628484574095,5.18337591829401,4.97935967967957
"power_consumption_of_tetouan_city","uni_loo",54,0.112756397874978,547.322856778726,-134.860246007717,534.993127332412,5.11180031281335,4.54289345086747
"power_consumption_of_tetouan_city","uni_loo",55,0.108897300893804,538.748374179702,-132.752783056166,520.328636048849,5.22389552805228,5.02693319086975
"power_consumption_of_tetouan_city","uni_loo",56,0.1110402552923,538.749057021088,-128.057443882994,529.124564613368,5.02537647480883,4.56444230739942
"power_consumption_of_tetouan_city","uni_loo",57,0.11268798032009,554.842408611863,-129.972095030904,548.802637057838,5.07713472450756,4.61361196683895
"power_consumption_of_tetouan_city","uni_loo",58,0.114997395206198,547.231823827499,-131.977693520924,519.773573418217,5.10547984688487,4.68602311113611
"power_consumption_of_tetouan_city","uni_loo",59,0.108391893763479,533.761010823977,-130.346765421316,489.782854767853,4.82810821994901,4.15996230263713
"power_consumption_of_tetouan_city","uni_loo",60,0.106720217675743,535.155032214922,-129.935709598405,498.418310054593,4.9944720313567,4.44656105321531
"power_consumption_of_tetouan_city","uni_loo",61,0.113237010329686,548.364938108583,-134.909069394414,530.170959939784,5.20809680935328,4.96387219041932
"power_consumption_of_tetouan_city","uni_loo",62,0.110301541555168,539.228646124687,-132.067597605149,508.019748284386,5.00129804218797,4.57604259353906
"power_consumption_of_tetouan_city","uni_loo",63,0.107367258077856,533.626861367491,-130.425721449574,488.750991456331,4.97121507854175,4.44379964819286
"power_consumption_of_tetouan_city","uni_loo",64,0.108425951051046,540.808766566685,-130.508864331167,516.949494277992,5.09200630650971,4.43861209704793
"power_consumption_of_tetouan_city","uni_loo",65,0.108297605323896,534.42550684494,-130.338374799656,508.889301254956,5.02714296271508,4.57202716232516
"power_consumption_of_tetouan_city","uni_loo",66,0.1075492553673,543.390756637402,-133.462812814589,498.516451992477,5.10228340009169,4.69105282568951
"power_consumption_of_tetouan_city","uni_loo",67,0.110935530326998,545.140281428017,-134.44403243298,504.27131694713,5.01271442602663,4.4767275703138
"power_consumption_of_tetouan_city","uni_loo",68,0.109032205134977,534.942098672531,-130.315938040226,498.423690769844,5.14439586689856,4.94232177794051
"power_consumption_of_tetouan_city","uni_loo",69,0.110051191923944,537.496189860172,-132.019557399312,495.889793953079,5.15545238307402,4.61966202869326
"power_consumption_of_tetouan_city","uni_loo",70,0.108604815010332,537.082615661323,-131.522991690117,490.088253595061,5.1968096569003,4.9203163426263
"power_consumption_of_tetouan_city","uni_loo",71,0.108611326900491,536.143835645704,-129.980927146502,505.529113932302,4.97824706043361,4.58591931924953
"power_consumption_of_tetouan_city","uni_loo",72,0.109678478146121,540.469161542558,-133.122122471625,495.739530122044,5.07991698418781,4.59720985694516
"power_consumption_of_tetouan_city","uni_loo",73,0.105339484427447,533.656007839979,-130.399671470439,503.077411300547,4.98838156254014,4.36531673719891
"power_consumption_of_tetouan_city","uni_loo",74,0.108990253343553,538.612243875489,-130.928445877831,514.164229182496,5.1162342859419,4.67687147203249
"power_consumption_of_tetouan_city","uni_loo",75,0.108546487155738,546.620079898558,-136.393221067629,520.383830491223,5.35114721861096,4.96929287119406
"power_consumption_of_tetouan_city","uni_loo",76,0.1086991350749,532.761415706057,-127.875114789172,485.414555393446,4.94748899141784,4.51289895970814
"power_consumption_of_tetouan_city","uni_loo",77,0.107589017149908,536.90645245754,-130.56615224013,506.80513104279,5.21422305946381,4.79259700736771
"power_consumption_of_tetouan_city","uni_loo",78,0.109799701030522,548.763081758462,-132.904724758335,524.084933805902,5.18742949733557,4.88073109925199
"power_consumption_of_tetouan_city","uni_loo",79,0.10685723441309,538.629067075707,-134.24310289757,507.694409550854,5.17446909403316,4.71669706408944
