"dataset","method","split_id","year","month","day","hour","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir"
"beijing_pm2.5","uni_loo",14,-1.03976965435233,-0.45391650607591,0.85859861984819,-0.302525049701469,1.08115128860912,-0.701946944327406,-0.392097901841778,-5.92678308148038,-0.456808985577694,2.93908994284021,-3.44563064602537
"beijing_pm2.5","uni_loo",15,-1.1582071645579,-0.565078509460923,0.863327357367494,-0.414145318159043,1.09139530617508,-0.692209862089978,-0.403328814313843,-4.97536484449273,-0.464932582026763,2.25161720838336,-3.62928614712434
"beijing_pm2.5","uni_loo",16,-0.785951894197967,-0.742527791837823,0.862024287559987,-0.362181990773236,1.10220864956883,-0.667547328117422,-0.430690808973152,-5.13025352546365,-0.471450561046544,2.67528240447136,-3.39327671395178
"beijing_pm2.5","uni_loo",17,-0.961636125001001,-0.690946385347484,0.880395027341889,-0.316856290568619,1.06424231407538,-0.732838541105162,-0.372751590596908,-5.33462507263072,-0.456755022800923,2.51403923147967,-3.42730222419388
"beijing_pm2.5","uni_loo",18,-1.01329259332557,-0.782810310108186,0.91259755808382,-0.302312687319244,1.05844040547699,-0.749293107650509,-0.420619848405741,-5.03394364548951,-0.470253023859177,2.43875105789029,-3.3158474503748
"beijing_pm2.5","uni_loo",19,-1.29543496491554,-0.665012189915039,0.877040278649153,-0.301549959283735,1.07770253777623,-0.674270030994909,-0.430824610422713,-4.76745863146981,-0.465143180932422,2.25579791043003,-3.18752366491444
"beijing_pm2.5","uni_loo",20,-1.18990062368015,-0.43641695930903,0.891261336347874,-0.277053119788971,1.10388212796705,-0.650078471362398,-0.451239193360595,-5.26424649691005,-0.459630072571675,1.27393294314375,-3.58287691372324
"beijing_pm2.5","uni_loo",21,-0.821029426609126,-0.501770965591432,0.848570635945933,-0.306506996238461,1.12552865452547,-0.627477747472737,-0.414687476141768,-4.978058556993,-0.457555732401824,0.974990031319442,-3.28829200941152
"beijing_pm2.5","uni_loo",22,-0.908047192024791,-0.614174078466985,0.896906621023172,-0.284193091171579,1.06649396867338,-0.754837025205723,-0.360001310916986,-5.55424685283201,-0.46684015580739,2.26279342491834,-3.53894023470629
"beijing_pm2.5","uni_loo",23,-0.838084858379441,-0.614201630499369,0.871470198459089,-0.399988005414257,1.11158707791276,-0.66196631877619,-0.463085254859023,-5.20540087423259,-0.456734533406811,2.76086291212864,-3.31216826977354
"beijing_pm2.5","uni_loo",24,-1.44372467203899,-0.726538521273483,0.893769186556076,-0.397082050478398,1.08970991779498,-0.723625719174284,-0.397019966677593,-4.53961911654251,-0.452915762237467,2.14393282623573,-3.4107807920164
"beijing_pm2.5","uni_loo",25,-1.44191519848418,-0.323868767232425,0.868298310272478,-0.305345456433306,1.10987950270763,-0.654638439480146,-0.446076949774873,-5.71466619918733,-0.464615951136319,2.186754629133,-3.14202145454098
"beijing_pm2.5","uni_loo",26,-0.627638425483934,-0.577135287591429,0.881994801533612,-0.312790775679536,1.12894074758317,-0.666243338062135,-0.431299952758997,-5.51191120533528,-0.467639256519923,1.82654015818258,-3.31678251350221
"beijing_pm2.5","uni_loo",27,-1.24931193506424,-0.499204222856124,0.885400828156609,-0.259537253648449,1.15849413626187,-0.639244977856054,-0.470911365419083,-4.97898326167492,-0.46042418601874,2.51875474338982,-3.49330737766677
"beijing_pm2.5","uni_loo",28,-0.857355585726398,-0.599008040133077,0.900027896767425,-0.269997322463287,1.08056078006498,-0.709896697144624,-0.442808649476198,-4.72559987178586,-0.45656068055091,2.67006193249549,-3.19725281183516
"beijing_pm2.5","uni_loo",29,-0.706480224961594,-0.693434691210764,0.920595104733202,-0.285215369232433,1.06484511174047,-0.744196800677341,-0.37975373356665,-5.83192440983978,-0.465074480353641,1.23463890101773,-3.46897333272946
"beijing_pm2.5","uni_loo",30,-0.87132872207739,-0.641561477312236,0.796885016836831,-0.192846760897435,1.08770048890108,-0.697232896527032,-0.400296191714756,-6.23988818089995,-0.4640518685078,2.68867974430802,-3.13026348778791
"beijing_pm2.5","uni_loo",31,-0.83517273582527,-0.432127775516424,0.8673517175558,-0.30304551222738,1.12123366100328,-0.629559151118227,-0.481818393076421,-4.7481789233197,-0.457591586661526,2.11720191096037,-3.08057339899942
"beijing_pm2.5","uni_loo",32,-0.789601759909354,-0.338196365985325,0.926296787924763,-0.29450467682364,1.18419050726169,-0.620627012851979,-0.539640433568174,-4.97154457562844,-0.466798425823362,1.13931907566272,-3.27711287586631
"beijing_pm2.5","uni_loo",33,-0.906743117230425,-0.612253597567116,0.813263645736743,-0.316462336046587,1.09168371543963,-0.678169265725028,-0.430400655309997,-4.69631154828149,-0.4690419937795,2.4237054952687,-3.30284987613447
"beijing_pm2.5","uni_loo",34,-0.92633820797828,-0.53503555147542,0.906066812650624,-0.231050979197168,1.09238465394895,-0.679555989994555,-0.3741300296049,-5.79115632377746,-0.462871044030054,2.52684795545877,-3.28874333215393
"beijing_pm2.5","uni_loo",35,-0.832375037846052,-0.661317045167346,0.878455711701217,-0.328772067572151,1.08986047291437,-0.696619515426023,-0.411029960799971,-4.9302610052082,-0.463530908333248,2.00874109392633,-3.49040945299055
"beijing_pm2.5","uni_loo",36,-0.803846894012088,-0.682039486214458,0.878576586345471,-0.290595116311438,1.11088013609927,-0.664655640237921,-0.430295888444403,-5.338257390746,-0.468198294660124,3.60347439630195,-3.55648382569168
"beijing_pm2.5","uni_loo",37,-1.1975727937733,-0.616191263850663,0.864375308754577,-0.375930565377168,1.12015892814962,-0.648108378599299,-0.484283565007894,-5.15639845651067,-0.463159067236508,1.46732524129093,-3.41731891541233
"beijing_pm2.5","uni_loo",38,-1.47773211028723,-0.727700114082643,0.982614154011819,-0.34630833465941,1.07883082353846,-0.686420349308585,-0.436511536294747,-4.88729250308529,-0.465673298816351,3.05348508508711,-3.62297457129864
"beijing_pm2.5","uni_loo",39,-1.01053372852227,-0.47121028849313,0.815436840549498,-0.272656896953695,1.1294584899844,-0.585075861811996,-0.464036396150267,-4.15366059932487,-0.454753153913987,1.26322881687958,-3.20905152300651
"beijing_pm2.5","uni_loo",40,-1.11594922917662,-0.533519964409781,0.782445933117132,-0.281649178843035,1.05795401099033,-0.685370248468278,-0.380163131196932,-4.50692300327683,-0.447274629619859,2.34372708613385,-3.17066230956826
"beijing_pm2.5","uni_loo",41,-1.28915063673768,-0.792254432899861,0.922798005608993,-0.351067182119869,1.12682349785765,-0.661104888927004,-0.483246306910285,-5.76661005421045,-0.449532724126798,2.86221768065923,-3.31997744991115
"beijing_pm2.5","uni_loo",42,-1.01523007036652,-0.43442034501436,0.882462593651267,-0.374616199235322,1.07247351382227,-0.705981834612224,-0.393570198513773,-4.76965925255129,-0.458349638050026,2.67101032858968,-3.52707989909461
"beijing_pm2.5","uni_loo",43,-0.57668851616275,-0.552649121790389,0.83758009240503,-0.384969460162854,1.08659163167769,-0.700219481672652,-0.418314062537379,-4.68267625700969,-0.451463159164714,2.21963229917638,-3.61653161727529
"beijing_pm2.5","uni_loo",44,-0.595962043037316,-0.683082701061388,0.915259316619819,-0.290055417067363,1.08666154197565,-0.682978151241027,-0.387832833081157,-5.17585199696735,-0.45748788897032,2.00525545615072,-3.14479962194141
"beijing_pm2.5","uni_loo",45,-0.722620618160673,-0.744702648990453,0.862187070356722,-0.304668396689613,1.11496796238989,-0.652097345098079,-0.439043407856656,-4.68279665582756,-0.454304988778121,2.57562888491975,-3.46902935874425
"beijing_pm2.5","uni_loo",46,-0.973049177033996,-0.691698781384825,0.933210693360626,-0.323412508235817,1.07453265026513,-0.698418730902619,-0.410581933344782,-6.12881092583804,-0.480487386186747,2.91214870849292,-3.46301691716801
