"dataset","method","split_id","price","highway.mpg","city.mpg","peak.rpm","horsepower","compression.ratio","stroke","bore","fuel.system","engine.size","num.of.cylinders","engine.type","curb.weight","height","width","length","wheel.base","engine.location","drive.wheels","body.style","num.of.doors","aspiration","fuel.type","make","normalized.losses"
"automobile","uni_loo",11,-1.51021003651321e-05,0.0138807190166615,0.00751010344970788,0.000391261640745253,0.00037338954055632,-0.0341573704106325,0.0302253203175554,-0.451417257129896,0.0999904589256751,-0.00109687180822888,-0.00506622276905258,-0.10953096016253,-0.000491532485290303,-0.249942755673147,-0.107661944358487,-0.0336514743373533,-0.101933652992085,2.17821782178218,-0.0760772659732545,-0.840847784200385,-0.744206954432663,-0.518706404565631,0.559139784946236,-0.00336241668715571,0.013999325067148
"automobile","uni_loo",12,-2.41012869722351e-05,0.00579897382894688,-0.00521491087528823,0.000538230954863052,0.00163227588525713,-0.0465484236622549,0.170004885723771,-0.781513678180545,0.00384810126582284,-0.00320771735393452,-0.14989939637827,0.109540636042403,-0.000574110222153487,-0.29999513073964,-0.144866115279259,-0.0399707032790551,-0.11232048862762,2.11881188118812,-0.18539976825029,-0.975922953451043,-0.909244813205182,0.186507936507936,0.623655913978494,-0.0279395814542922,0.0183827958533404
"automobile","uni_loo",13,-2.58469516275675e-06,-0.00381117945974862,-0.0166257601575812,0.000897693710683487,0.00475487124425971,-0.0434137063576175,-0.143816294158782,-0.566526919579277,0.0896024464831803,-0.00250556672012013,-0.0755813953488372,0.180936030454579,-0.000382514939939995,-0.323466440505067,-0.119222610704354,-0.0373988680814457,-0.108528179898271,2.12121212121212,0.260044289781714,-0.886141834743006,-0.894136253105678,-0.186429930247305,0.637856525496975,-0.0283517612228869,0.0212679626394036
"automobile","uni_loo",14,-7.10811347235582e-06,0.00357145044995375,-0.00706129942237943,0.000690930177968631,0.00232219349900689,-0.0482427391522191,-0.448386142313574,-0.584436541679316,0.100890874154668,-0.00155764723430846,-0.0416004487239415,0.0352819984548031,-0.000419085636645618,-0.271164605593137,-0.0963458665905894,-0.028632751935327,-0.105034736817052,2.12871287128713,-0.228376327769348,-0.843865313653137,-0.817373941879102,-0.197578425976885,0.694305694305695,-0.0200069589422408,0.0149403310372371
"automobile","uni_loo",15,-6.31861868175506e-06,0.00554738305146647,-0.00585819391251766,0.000623490669593853,0.00344784612228274,-0.0681228215118524,-0.227101379918953,-0.104696131402987,0.0676831535886946,-0.00194422125359076,-0.110872207160886,0.115177885845918,-0.000384977718032816,-0.297343561055416,-0.111387506084507,-0.0354778755041193,-0.124613354175911,2.0990099009901,-0.211445198836082,-0.779675370501059,-0.750815065899755,0.158730158730159,0.888888888888888,-0.0364168148190629,0.0155493112207243
"automobile","uni_loo",16,3.02058332461629e-07,-0.0244288617927122,-0.0382900638847356,0.0008760404937277,0.00703903515530692,-0.072903882772942,-0.201846922425189,-0.387481216815518,0.117912694430507,-0.0021887998780128,-0.15963511972634,0.205220651860398,-0.000464868804924464,-0.301958244058,-0.122201002871629,-0.0393404997249998,-0.116914913714876,1.99,-0.0951276102088168,-0.947504391856981,-0.95975440481177,0.0691185795814838,0.941304347826088,-0.0290057648471395,0.0199065910291729
"automobile","uni_loo",17,-4.98006544933812e-06,0.00725174390728511,-0.00616781947678397,0.00077379177267203,0.00376413794617183,-0.0298415481416085,0.289983684358843,-0.539558115788313,0.0823129407980887,-0.0018612302232737,-0.146762742396949,0.285524568393095,-0.000453473046538413,-0.2759079955169,-0.100077991152479,-0.0334478269556237,-0.104285815865005,2.15,-0.128424657534247,-0.798153034300792,-0.849700506421931,0.126436781609196,0.425531914893616,-0.0220361171984729,0.0167792051902914
"automobile","uni_loo",18,-2.32984169244948e-05,0.014703308622556,9.46508734923621e-05,0.000810698054350598,0.00103394844691927,-0.0614886306372482,0.207787093014291,-0.491634805948888,0.0321388991503509,-0.00470549168457289,-0.170418006430868,0.141528379663883,-0.000789165427596576,-0.302178390438532,-0.227361227143718,-0.0524398928068396,-0.1494682698858,2.27,-0.293894337235052,-0.873652917131178,-0.879883945841393,-0.234090909090909,0.877777777777778,-0.0455934793683138,0.0194748246262221
"automobile","uni_loo",19,-4.29256882451668e-07,0.0175913396481732,0.007548357670095,0.000627538345539444,0.00172077665221153,-0.0184879439313984,0.0480988385464961,-0.885184595798852,0.031804470202608,-0.0019801578154727,-0.0496397907825917,0.10768426555149,-0.000558472963032558,-0.288095297006286,-0.110977249707024,-0.0379883871111979,-0.109144374850236,2.15,-0.418848167539268,-0.842741935483871,-0.837012219156484,-0.184815184815185,0.289893617021276,-0.015022951399426,0.0168521097597144
"automobile","uni_loo",20,-5.20253066257737e-06,-0.00943600804111991,-0.0174291938997821,0.000656448997680823,0.00276430306197615,-0.0387325611379795,-0.215809754831971,-0.39435467552201,0.150651969658776,-0.00393909477202424,-0.190140845070423,0.0380211062046254,-0.000412894040571043,-0.183853895253041,-0.0985609847818341,-0.0247854166211542,-0.0931243075310765,2.06,-0.0913897280966777,-0.792944785276074,-0.685035472980998,0.211111111111111,0.587813620071683,0.031523880698417,0.0122378911227896
